Table: Entropy [IG]
Temperature {K} 	Pressure {kPa} 	Entropy {J/K/mol} 	Uncertainty {J/K/mol} 
150	101.3	195.6	2.0
150	200	189.9	1.9
150	400	184.2	1.8
150	600	180.8	1.8
150	800	178.4	1.8
150	1000	176.6	1.8
150	1200	175.0	1.8
150	1400	173.8	1.7
150	1600	172.6	1.7
150	1800	171.7	1.7
150	2000	170.8	1.7
150	2200	170.0	1.7
150	2400	169.3	1.7
150	2600	168.6	1.7
150	2800	168.0	1.7
150	3000	167.4	1.7
150	3200	166.9	1.7
150	3400	166.4	1.7
150	3600	165.9	1.7
150	3800	165.5	1.7
150	4000	165.0	1.7
150	4200	164.6	1.6
150	4400	164.2	1.6
150	4600	163.9	1.6
150	4800	163.5	1.6
150	5000	163.2	1.6
150	5200	162.8	1.6
150	5400	162.5	1.6
150	5600	162.2	1.6
150	5800	161.9	1.6
150	6000	161.7	1.6
150	6200	161.4	1.6
150	6400	161.1	1.6
150	6600	160.9	1.6
150	6800	160.6	1.6
150	7000	160.4	1.6
150	7200	160.1	1.6
150	7400	159.9	1.6
150	7600	159.7	1.6
150	7800	159.5	1.6
150	8000	159.3	1.6
150	8200	159.1	1.6
150	8400	158.9	1.6
150	8600	158.7	1.6
150	8800	158.5	1.6
150	9000	158.3	1.6
150	9200	158.1	1.6
150	9400	157.9	1.6
150	9600	157.7	1.6
150	9800	157.6	1.6
150	10000	157.4	1.6
151	101.3	195.8	2.0
151	200	190.2	1.9
151	400	184.4	1.8
151	600	181.0	1.8
151	800	178.6	1.8
151	1000	176.8	1.8
151	1200	175.3	1.8
151	1400	174.0	1.7
151	1600	172.9	1.7
151	1800	171.9	1.7
151	2000	171.0	1.7
151	2200	170.2	1.7
151	2400	169.5	1.7
151	2600	168.8	1.7
151	2800	168.2	1.7
151	3000	167.6	1.7
151	3200	167.1	1.7
151	3400	166.6	1.7
151	3600	166.1	1.7
151	3800	165.7	1.7
151	4000	165.2	1.7
151	4200	164.8	1.6
151	4400	164.5	1.6
151	4600	164.1	1.6
151	4800	163.7	1.6
151	5000	163.4	1.6
151	5200	163.1	1.6
151	5400	162.8	1.6
151	5600	162.5	1.6
151	5800	162.2	1.6
151	6000	161.9	1.6
151	6200	161.6	1.6
151	6400	161.3	1.6
151	6600	161.1	1.6
151	6800	160.8	1.6
151	7000	160.6	1.6
151	7200	160.4	1.6
151	7400	160.1	1.6
151	7600	159.9	1.6
151	7800	159.7	1.6
151	8000	159.5	1.6
151	8200	159.3	1.6
151	8400	159.1	1.6
151	8600	158.9	1.6
151	8800	158.7	1.6
151	9000	158.5	1.6
151	9200	158.3	1.6
151	9400	158.1	1.6
151	9600	158.0	1.6
151	9800	157.8	1.6
151	10000	157.6	1.6
152	101.3	196.0	2.0
152	200	190.4	1.9
152	400	184.6	1.8
152	600	181.2	1.8
152	800	178.9	1.8
152	1000	177.0	1.8
152	1200	175.5	1.8
152	1400	174.2	1.7
152	1600	173.1	1.7
152	1800	172.1	1.7
152	2000	171.2	1.7
152	2200	170.4	1.7
152	2400	169.7	1.7
152	2600	169.1	1.7
152	2800	168.4	1.7
152	3000	167.9	1.7
152	3200	167.3	1.7
152	3400	166.8	1.7
152	3600	166.3	1.7
152	3800	165.9	1.7
152	4000	165.5	1.7
152	4200	165.1	1.7
152	4400	164.7	1.6
152	4600	164.3	1.6
152	4800	164.0	1.6
152	5000	163.6	1.6
152	5200	163.3	1.6
152	5400	163.0	1.6
152	5600	162.7	1.6
152	5800	162.4	1.6
152	6000	162.1	1.6
152	6200	161.8	1.6
152	6400	161.6	1.6
152	6600	161.3	1.6
152	6800	161.1	1.6
152	7000	160.8	1.6
152	7200	160.6	1.6
152	7400	160.4	1.6
152	7600	160.1	1.6
152	7800	159.9	1.6
152	8000	159.7	1.6
152	8200	159.5	1.6
152	8400	159.3	1.6
152	8600	159.1	1.6
152	8800	158.9	1.6
152	9000	158.7	1.6
152	9200	158.5	1.6
152	9400	158.4	1.6
152	9600	158.2	1.6
152	9800	158.0	1.6
152	10000	157.9	1.6
153	101.3	196.3	2.0
153	200	190.6	1.9
153	400	184.8	1.8
153	600	181.5	1.8
153	800	179.1	1.8
153	1000	177.2	1.8
153	1200	175.7	1.8
153	1400	174.4	1.7
153	1600	173.3	1.7
153	1800	172.3	1.7
153	2000	171.5	1.7
153	2200	170.7	1.7
153	2400	169.9	1.7
153	2600	169.3	1.7
153	2800	168.7	1.7
153	3000	168.1	1.7
153	3200	167.5	1.7
153	3400	167.0	1.7
153	3600	166.6	1.7
153	3800	166.1	1.7
153	4000	165.7	1.7
153	4200	165.3	1.7
153	4400	164.9	1.6
153	4600	164.5	1.6
153	4800	164.2	1.6
153	5000	163.8	1.6
153	5200	163.5	1.6
153	5400	163.2	1.6
153	5600	162.9	1.6
153	5800	162.6	1.6
153	6000	162.3	1.6
153	6200	162.0	1.6
153	6400	161.8	1.6
153	6600	161.5	1.6
153	6800	161.3	1.6
153	7000	161.0	1.6
153	7200	160.8	1.6
153	7400	160.6	1.6
153	7600	160.4	1.6
153	7800	160.1	1.6
153	8000	159.9	1.6
153	8200	159.7	1.6
153	8400	159.5	1.6
153	8600	159.3	1.6
153	8800	159.1	1.6
153	9000	158.9	1.6
153	9200	158.8	1.6
153	9400	158.6	1.6
153	9600	158.4	1.6
153	9800	158.2	1.6
153	10000	158.1	1.6
154	101.3	196.5	2.0
154	200	190.8	1.9
154	400	185.1	1.9
154	600	181.7	1.8
154	800	179.3	1.8
154	1000	177.4	1.8
154	1200	175.9	1.8
154	1400	174.6	1.7
154	1600	173.5	1.7
154	1800	172.5	1.7
154	2000	171.7	1.7
154	2200	170.9	1.7
154	2400	170.2	1.7
154	2600	169.5	1.7
154	2800	168.9	1.7
154	3000	168.3	1.7
154	3200	167.8	1.7
154	3400	167.3	1.7
154	3600	166.8	1.7
154	3800	166.3	1.7
154	4000	165.9	1.7
154	4200	165.5	1.7
154	4400	165.1	1.7
154	4600	164.7	1.6
154	4800	164.4	1.6
154	5000	164.1	1.6
154	5200	163.7	1.6
154	5400	163.4	1.6
154	5600	163.1	1.6
154	5800	162.8	1.6
154	6000	162.5	1.6
154	6200	162.3	1.6
154	6400	162.0	1.6
154	6600	161.7	1.6
154	6800	161.5	1.6
154	7000	161.3	1.6
154	7200	161.0	1.6
154	7400	160.8	1.6
154	7600	160.6	1.6
154	7800	160.4	1.6
154	8000	160.1	1.6
154	8200	159.9	1.6
154	8400	159.7	1.6
154	8600	159.5	1.6
154	8800	159.4	1.6
154	9000	159.2	1.6
154	9200	159.0	1.6
154	9400	158.8	1.6
154	9600	158.6	1.6
154	9800	158.5	1.6
154	10000	158.3	1.6
155	101.3	196.7	2.0
155	200	191.0	1.9
155	400	185.3	1.9
155	600	181.9	1.8
155	800	179.5	1.8
155	1000	177.7	1.8
