Table: Entropy [G]
Pressure {Pa} 	 Temperature {K} 	 Specific Entropy {J/Kg}
200000 	 1.968720e+02 	 4.525354e+03
200000 	 197 	 4.525936e+03
200000 	 198 	 4.530480e+03
200000 	 199 	 4.532752e+03
200000 	 200 	 4.537296e+03
200000 	 201 	 4.541840e+03
200000 	 202 	 4.544112e+03
200000 	 203 	 4.548656e+03
200000 	 204 	 4.553200e+03
200000 	 205 	 4.557744e+03
200000 	 206 	 4.560016e+03
200000 	 207 	 4.564560e+03
200000 	 208 	 4.569105e+03
200000 	 209 	 4.571377e+03
200000 	 210 	 4.575921e+03
200000 	 211 	 4.580465e+03
200000 	 212 	 4.582737e+03
200000 	 213 	 4.587281e+03
200000 	 214 	 4.591825e+03
200000 	 215 	 4.594097e+03
200000 	 216 	 4.598641e+03
200000 	 217 	 4.600913e+03
200000 	 218 	 4.605457e+03
200000 	 219 	 4.610002e+03
200000 	 220 	 4.612274e+03
200000 	 221 	 4.616818e+03
200000 	 222 	 4.619090e+03
200000 	 223 	 4.623634e+03
200000 	 224 	 4.628178e+03
200000 	 225 	 4.630450e+03
200000 	 226 	 4.634994e+03
200000 	 227 	 4.637266e+03
200000 	 228 	 4.641810e+03
200000 	 229 	 4.644082e+03
200000 	 230 	 4.648627e+03
200000 	 231 	 4.653171e+03
200000 	 232 	 4.655443e+03
200000 	 233 	 4.659987e+03
200000 	 234 	 4.662259e+03
200000 	 235 	 4.666803e+03
200000 	 236 	 4.669075e+03
200000 	 237 	 4.673619e+03
200000 	 238 	 4.675891e+03
200000 	 239 	 4.680435e+03
200000 	 240 	 4.682707e+03
200000 	 241 	 4.687251e+03
200000 	 242 	 4.689524e+03
200000 	 243 	 4.694068e+03
200000 	 244 	 4.696340e+03
200000 	 245 	 4.700884e+03
200000 	 246 	 4.703156e+03
200000 	 247 	 4.707700e+03
200000 	 248 	 4.709972e+03
200000 	 249 	 4.714516e+03
200000 	 250 	 4.716788e+03
200000 	 251 	 4.721332e+03
200000 	 252 	 4.723604e+03
200000 	 253 	 4.725876e+03
200000 	 254 	 4.730421e+03
200000 	 255 	 4.732693e+03
200000 	 256 	 4.737237e+03
200000 	 257 	 4.739509e+03
200000 	 258 	 4.744053e+03
200000 	 259 	 4.746325e+03
200000 	 260 	 4.748597e+03
200000 	 261 	 4.753141e+03
200000 	 262 	 4.755413e+03
200000 	 263 	 4.759957e+03
200000 	 264 	 4.762229e+03
200000 	 265 	 4.766773e+03
200000 	 266 	 4.769046e+03
200000 	 267 	 4.771318e+03
200000 	 268 	 4.775862e+03
200000 	 269 	 4.778134e+03
200000 	 270 	 4.780406e+03
200000 	 271 	 4.784950e+03
200000 	 272 	 4.787222e+03
200000 	 273 	 4.791766e+03
200000 	 274 	 4.794038e+03
200000 	 275 	 4.796310e+03
200000 	 276 	 4.800854e+03
200000 	 277 	 4.803126e+03
200000 	 278 	 4.805398e+03
200000 	 279 	 4.809943e+03
200000 	 280 	 4.812215e+03
200000 	 281 	 4.814487e+03
200000 	 282 	 4.819031e+03
200000 	 283 	 4.821303e+03
200000 	 284 	 4.825847e+03
200000 	 285 	 4.828119e+03
200000 	 286 	 4.830391e+03
200000 	 287 	 4.832663e+03
200000 	 288 	 4.837207e+03
200000 	 289 	 4.839479e+03
200000 	 290 	 4.841751e+03
200000 	 291 	 4.846295e+03
200000 	 292 	 4.848567e+03
200000 	 293 	 4.850840e+03
200000 	 294 	 4.855384e+03
200000 	 295 	 4.857656e+03
200000 	 296 	 4.859928e+03
200000 	 297 	 4.864472e+03
200000 	 298 	 4.866744e+03
200000 	 299 	 4.869016e+03
200000 	 300 	 4.871288e+03
200000 	 301 	 4.875832e+03
200000 	 302 	 4.878104e+03
200000 	 303 	 4.880376e+03
200000 	 304 	 4.884920e+03
200000 	 305 	 4.887192e+03
200000 	 306 	 4.889464e+03
200000 	 307 	 4.891737e+03
200000 	 308 	 4.896281e+03
200000 	 309 	 4.898553e+03
200000 	 310 	 4.900825e+03
200000 	 311 	 4.903097e+03
200000 	 312 	 4.907641e+03
200000 	 313 	 4.909913e+03
200000 	 314 	 4.912185e+03
200000 	 315 	 4.914457e+03
200000 	 316 	 4.919001e+03
200000 	 317 	 4.921273e+03
200000 	 318 	 4.923545e+03
200000 	 319 	 4.925817e+03
200000 	 320 	 4.930361e+03
200000 	 321 	 4.932634e+03
200000 	 322 	 4.934906e+03
200000 	 323 	 4.937178e+03
200000 	 324 	 4.941722e+03
200000 	 325 	 4.943994e+03
200000 	 326 	 4.946266e+03
200000 	 327 	 4.948538e+03
200000 	 328 	 4.950810e+03
200000 	 329 	 4.955354e+03
200000 	 330 	 4.957626e+03
200000 	 331 	 4.959898e+03
200000 	 332 	 4.962170e+03
200000 	 333 	 4.966714e+03
200000 	 334 	 4.968986e+03
200000 	 335 	 4.971258e+03
200000 	 336 	 4.973531e+03
200000 	 337 	 4.975803e+03
200000 	 338 	 4.978075e+03
