Table: Entropy [L, G] of liquid in equilibrium with gas
Temperature {K} 	Entropy {J/K/mol} 	Uncertainty {J/K/mol} 
182.33	112.2	1.6
183	112.4	1.6
184	112.9	1.5
185	113.3	1.5
186	113.7	1.5
187	114.1	1.4
188	114.5	1.4
189	114.9	1.4
190	115.3	1.3
191	115.7	1.3
192	116.1	1.3
193	116.5	1.3
194	116.9	1.2
195	117.2	1.2
196	117.6	1.2
197	118.0	1.1
198	118.4	1.1
199	118.8	1.1
200	119.2	1.1
201	119.6	1.0
202	119.9	1.0
203	120.31	0.99
204	120.69	0.97
205	121.06	0.94
206	121.43	0.92
207	121.81	0.90
208	122.18	0.88
209	122.55	0.86
210	122.91	0.84
211	123.28	0.82
212	123.64	0.80
213	124.01	0.78
214	124.37	0.76
215	124.73	0.75
216	125.09	0.73
217	125.45	0.71
218	125.81	0.70
219	126.16	0.68
220	126.52	0.66
221	126.87	0.65
222	127.23	0.63
223	127.58	0.62
224	127.93	0.61
225	128.28	0.59
226	128.63	0.58
227	128.98	0.57
228	129.33	0.56
229	129.67	0.54
230	130.02	0.53
231	130.37	0.52
232	130.71	0.51
233	131.06	0.50
234	131.40	0.49
235	131.74	0.48
236	132.08	0.47
237	132.42	0.46
238	132.76	0.45
239	133.10	0.44
240	133.44	0.44
241	133.78	0.43
242	134.12	0.42
243	134.46	0.42
244	134.80	0.41
245	135.13	0.40
246	135.47	0.40
247	135.81	0.39
248	136.14	0.39
249	136.48	0.38
250	136.81	0.38
251	137.15	0.37
252	137.48	0.37
253	137.82	0.37
254	138.15	0.36
255	138.49	0.36
256	138.82	0.36
257	139.16	0.36
258	139.49	0.36
259	139.83	0.35
260	140.16	0.35
261	140.50	0.35
262	140.83	0.35
263	141.17	0.35
264	141.50	0.35
265	141.84	0.35
266	142.17	0.35
267	142.51	0.35
268	142.85	0.35
269	143.19	0.35
270	143.52	0.35
271	143.86	0.35
272	144.20	0.36
273	144.54	0.36
274	144.89	0.36
275	145.23	0.36
276	145.57	0.36
277	145.92	0.36
278	146.27	0.36
279	146.62	0.37
280	146.97	0.37
281	147.32	0.37
282	147.67	0.37
283	148.03	0.37
284	148.39	0.38
285	148.75	0.38
286	149.11	0.38
287	149.48	0.38
288	149.85	0.38
289	150.22	0.39
290	150.60	0.39
291	150.98	0.39
292	151.37	0.39
293	151.76	0.39
294	152.17	0.40
295	152.57	0.40
296	152.99	0.40
297	153.41	0.40
298	153.85	0.41
299	154.29	0.41
300	154.75	0.41
301	155.23	0.42
302	155.73	0.42
303	156.26	0.43
304	156.82	0.43
305	157.43	0.44
306	158.10	0.46
307	158.88	0.47
308	159.85	0.51
309	161.38	0.77
309.52	164.55	0.41
