Table: Adiabatic compressibility [G]
Temperature {K} 	Pressure {kPa} 	Adiabatic compressibility {1/kPa} 	Uncertainty {1/kPa} 
197	200	0.003793	1.3e-5
198	200	0.003794	1.2e-5
199	200	0.003795	1.2e-5
200	200	0.003796	1.1e-5
201	200	0.003797	1.1e-5
202	200	0.003798	1.0e-5
203	200	0.0037992	9.7e-6
204	200	0.0038003	9.2e-6
205	200	0.0038015	8.8e-6
206	200	0.0038028	8.4e-6
207	200	0.0038040	8.0e-6
208	200	0.0038053	7.7e-6
209	200	0.0038067	7.3e-6
210	200	0.0038080	7.0e-6
211	200	0.0038094	6.7e-6
212	200	0.0038108	6.4e-6
212	400	0.0019240	7.7e-6
213	200	0.0038122	6.1e-6
213	400	0.0019241	7.3e-6
214	200	0.0038137	5.8e-6
214	400	0.0019242	7.0e-6
215	200	0.0038151	5.6e-6
215	400	0.0019243	6.6e-6
216	200	0.0038166	5.4e-6
216	400	0.0019245	6.3e-6
217	200	0.0038180	5.1e-6
217	400	0.0019247	6.1e-6
218	200	0.0038195	4.9e-6
218	400	0.0019250	5.8e-6
219	200	0.0038210	4.7e-6
219	400	0.0019253	5.5e-6
220	200	0.0038225	4.5e-6
220	400	0.0019256	5.3e-6
221	200	0.0038240	4.3e-6
221	400	0.0019260	5.1e-6
222	200	0.0038255	4.2e-6
222	400	0.0019264	4.8e-6
222	600	0.0012958	5.6e-6
223	200	0.0038271	4.0e-6
223	400	0.0019268	4.6e-6
223	600	0.0012956	5.4e-6
224	200	0.0038286	3.8e-6
224	400	0.0019272	4.4e-6
224	600	0.0012955	5.1e-6
225	200	0.0038301	3.7e-6
225	400	0.0019276	4.2e-6
225	600	0.0012955	4.9e-6
226	200	0.0038316	3.5e-6
226	400	0.0019281	4.1e-6
226	600	0.0012954	4.7e-6
227	200	0.0038332	3.4e-6
227	400	0.0019285	3.9e-6
227	600	0.0012954	4.5e-6
228	200	0.0038347	3.3e-6
228	400	0.0019290	3.7e-6
228	600	0.0012954	4.3e-6
229	200	0.0038362	3.1e-6
229	400	0.0019295	3.6e-6
229	600	0.0012955	4.1e-6
229	800	0.0009800	4.7e-6
230	200	0.0038377	3.0e-6
230	400	0.0019300	3.4e-6
230	600	0.0012956	3.9e-6
230	800	0.0009797	4.5e-6
231	200	0.0038393	2.9e-6
231	400	0.0019305	3.3e-6
231	600	0.0012956	3.7e-6
231	800	0.0009795	4.3e-6
232	200	0.0038408	2.8e-6
232	400	0.0019310	3.2e-6
232	600	0.0012957	3.6e-6
232	800	0.0009793	4.1e-6
233	200	0.0038423	2.7e-6
233	400	0.0019316	3.0e-6
233	600	0.0012959	3.4e-6
233	800	0.0009792	3.9e-6
234	200	0.0038438	2.6e-6
234	400	0.0019321	2.9e-6
234	600	0.0012960	3.3e-6
234	800	0.0009790	3.7e-6
235	200	0.0038454	2.5e-6
235	400	0.0019327	2.8e-6
235	600	0.0012962	3.2e-6
235	800	0.0009789	3.6e-6
235	1000	0.0007896	4.1e-6
236	200	0.0038469	2.4e-6
236	400	0.0019332	2.7e-6
236	600	0.0012964	3.0e-6
236	800	0.0009789	3.4e-6
236	1000	0.0007893	3.9e-6
237	200	0.0038484	2.3e-6
237	400	0.0019338	2.6e-6
237	600	0.0012965	2.9e-6
237	800	0.0009788	3.3e-6
237	1000	0.0007891	3.7e-6
238	200	0.0038499	2.3e-6
238	400	0.0019344	2.5e-6
238	600	0.0012967	2.8e-6
238	800	0.0009787	3.1e-6
238	1000	0.0007888	3.5e-6
239	200	0.0038514	2.2e-6
239	400	0.0019349	2.4e-6
239	600	0.0012969	2.7e-6
239	800	0.0009787	3.0e-6
239	1000	0.0007886	3.4e-6
240	200	0.0038529	2.1e-6
240	400	0.0019355	2.3e-6
240	600	0.0012972	2.6e-6
240	800	0.0009787	2.9e-6
240	1000	0.0007884	3.2e-6
241	200	0.0038544	2.1e-6
241	400	0.0019361	2.3e-6
241	600	0.0012974	2.5e-6
241	800	0.0009787	2.8e-6
241	1000	0.0007882	3.1e-6
241	1200	0.0006619	3.5e-6
242	200	0.0038559	2.0e-6
242	400	0.0019367	2.2e-6
242	600	0.0012976	2.4e-6
242	800	0.0009787	2.6e-6
242	1000	0.0007881	2.9e-6
242	1200	0.0006616	3.3e-6
243	200	0.0038574	1.9e-6
243	400	0.0019373	2.1e-6
243	600	0.0012979	2.3e-6
243	800	0.0009788	2.5e-6
243	1000	0.0007879	2.8e-6
243	1200	0.0006613	3.1e-6
244	200	0.0038589	1.9e-6
244	400	0.0019379	2.0e-6
244	600	0.0012981	2.2e-6
244	800	0.0009788	2.4e-6
244	1000	0.0007878	2.7e-6
244	1200	0.0006611	3.0e-6
245	200	0.0038603	1.8e-6
245	400	0.0019385	2.0e-6
245	600	0.0012984	2.1e-6
245	800	0.0009789	2.3e-6
245	1000	0.0007877	2.6e-6
245	1200	0.0006608	2.9e-6
246	200	0.0038618	1.8e-6
246	400	0.0019391	1.9e-6
246	600	0.0012987	2.1e-6
246	800	0.0009790	2.3e-6
246	1000	0.0007876	2.5e-6
246	1200	0.0006606	2.7e-6
246	1400	0.0005704	3.1e-6
247	200	0.0038633	1.7e-6
247	400	0.0019397	1.8e-6
247	600	0.0012990	2.0e-6
247	800	0.0009791	2.2e-6
247	1000	0.0007876	2.4e-6
247	1200	0.0006604	2.6e-6
247	1400	0.0005701	2.9e-6
248	200	0.0038647	1.7e-6
248	400	0.0019403	1.8e-6
248	600	0.0012992	1.9e-6
248	800	0.0009791	2.1e-6
248	1000	0.0007875	2.3e-6
248	1200	0.0006602	2.5e-6
248	1400	0.0005698	2.8e-6
249	200	0.0038662	1.6e-6
249	400	0.0019409	1.7e-6
249	600	0.0012995	1.9e-6
249	800	0.0009792	2.0e-6
249	1000	0.0007875	2.2e-6
249	1200	0.0006601	2.4e-6
249	1400	0.0005695	2.7e-6
250	200	0.0038676	1.6e-6
250	400	0.0019415	1.7e-6
250	600	0.0012998	1.8e-6
250	800	0.0009794	1.9e-6
250	1000	0.0007875	2.1e-6
250	1200	0.0006599	2.3e-6
250	1400	0.0005692	2.5e-6
