Table: Heat capacity at constant pressure [G]
Temperature {K} 	Pressure {kPa} 	Heat capacity at constant pressure {J/K/mol} 	Uncertainty {J/K/mol} 
197	200	37.7	1.6
198	200	37.6	1.5
199	200	37.5	1.5
200	200	37.4	1.4
201	200	37.3	1.3
202	200	37.2	1.3
203	200	37.1	1.2
204	200	37.0	1.2
205	200	37.0	1.1
206	200	36.9	1.1
207	200	36.9	1.0
208	200	36.83	0.98
209	200	36.80	0.94
210	200	36.77	0.90
211	200	36.74	0.86
212	200	36.72	0.83
212	400	41.0	2.0
213	200	36.70	0.80
213	400	40.8	1.9
214	200	36.68	0.77
214	400	40.6	1.8
215	200	36.67	0.74
215	400	40.4	1.7
216	200	36.66	0.71
216	400	40.3	1.7
217	200	36.65	0.69
217	400	40.1	1.6
218	200	36.65	0.66
218	400	40.0	1.5
219	200	36.65	0.64
219	400	39.8	1.4
220	200	36.65	0.62
220	400	39.7	1.4
221	200	36.66	0.59
221	400	39.6	1.3
222	200	36.66	0.57
222	400	39.5	1.3
222	600	43.6	2.3
223	200	36.67	0.55
223	400	39.4	1.2
223	600	43.3	2.2
224	200	36.68	0.53
224	400	39.3	1.2
224	600	43.1	2.1
225	200	36.69	0.52
225	400	39.2	1.1
225	600	42.8	2.0
226	200	36.71	0.50
226	400	39.2	1.1
226	600	42.6	1.9
227	200	36.72	0.48
227	400	39.1	1.0
227	600	42.4	1.8
228	200	36.74	0.46
228	400	39.05	0.99
228	600	42.2	1.7
229	200	36.76	0.45
229	400	38.99	0.96
229	600	42.0	1.6
229	800	46.2	2.6
230	200	36.78	0.43
230	400	38.94	0.92
230	600	41.9	1.6
230	800	45.8	2.5
231	200	36.80	0.42
231	400	38.90	0.89
231	600	41.7	1.5
231	800	45.5	2.3
232	200	36.82	0.41
232	400	38.86	0.86
232	600	41.6	1.4
232	800	45.2	2.2
233	200	36.84	0.39
233	400	38.82	0.83
233	600	41.4	1.4
233	800	44.9	2.1
234	200	36.87	0.38
234	400	38.79	0.80
234	600	41.3	1.3
234	800	44.6	2.0
235	200	36.89	0.37
235	400	38.76	0.77
235	600	41.2	1.3
235	800	44.4	1.9
235	1000	48.6	2.9
236	200	36.92	0.36
236	400	38.73	0.74
236	600	41.1	1.2
236	800	44.1	1.8
236	1000	48.1	2.7
237	200	36.94	0.34
237	400	38.71	0.72
237	600	41.0	1.2
237	800	43.9	1.7
237	1000	47.7	2.6
238	200	36.97	0.33
238	400	38.69	0.69
238	600	40.9	1.1
238	800	43.7	1.7
238	1000	47.3	2.4
239	200	37.00	0.32
239	400	38.68	0.67
239	600	40.8	1.1
239	800	43.5	1.6
239	1000	47.0	2.3
240	200	37.03	0.31
240	400	38.66	0.65
240	600	40.7	1.0
240	800	43.3	1.5
240	1000	46.7	2.2
241	200	37.05	0.30
241	400	38.65	0.63
241	600	40.65	1.00
241	800	43.2	1.5
241	1000	46.3	2.1
241	1200	50.4	3.0
242	200	37.08	0.29
242	400	38.64	0.61
242	600	40.58	0.96
242	800	43.0	1.4
242	1000	46.1	2.0
242	1200	50.0	2.8
243	200	37.11	0.28
243	400	38.63	0.59
243	600	40.52	0.93
243	800	42.9	1.4
243	1000	45.8	1.9
243	1200	49.5	2.7
244	200	37.15	0.28
244	400	38.63	0.57
244	600	40.46	0.90
244	800	42.7	1.3
244	1000	45.5	1.8
244	1200	49.1	2.5
245	200	37.18	0.27
245	400	38.63	0.55
245	600	40.40	0.87
245	800	42.6	1.2
245	1000	45.3	1.7
245	1200	48.7	2.4
246	200	37.21	0.26
246	400	38.62	0.53
246	600	40.35	0.84
246	800	42.5	1.2
246	1000	45.1	1.7
246	1200	48.3	2.3
246	1400	52.4	3.1
247	200	37.24	0.25
247	400	38.63	0.51
247	600	40.31	0.81
247	800	42.4	1.2
247	1000	44.9	1.6
247	1200	48.0	2.2
247	1400	51.9	2.9
248	200	37.27	0.24
248	400	38.63	0.50
248	600	40.26	0.78
248	800	42.2	1.1
248	1000	44.7	1.5
248	1200	47.6	2.1
248	1400	51.4	2.8
249	200	37.31	0.24
249	400	38.63	0.48
249	600	40.22	0.76
249	800	42.1	1.1
249	1000	44.5	1.5
249	1200	47.3	2.0
249	1400	50.9	2.6
250	200	37.34	0.23
250	400	38.64	0.47
250	600	40.19	0.73
250	800	42.1	1.0
250	1000	44.3	1.4
