Table: Enthalpy [IG]
Temperature {K} 	Enthalpy {kJ/mol} 	Uncertainty {kJ/mol} 
150	4.300	0.043
151	4.333	0.043
152	4.367	0.044
153	4.401	0.044
154	4.434	0.044
155	4.468	0.045
156	4.501	0.045
157	4.535	0.045
158	4.569	0.046
159	4.602	0.046
160	4.636	0.046
161	4.669	0.047
162	4.703	0.047
163	4.737	0.047
164	4.771	0.048
165	4.804	0.048
166	4.838	0.048
167	4.872	0.049
168	4.906	0.049
169	4.939	0.049
170	4.973	0.050
171	5.007	0.050
172	5.041	0.050
173	5.075	0.051
174	5.109	0.051
175	5.143	0.051
176	5.177	0.052
177	5.210	0.052
178	5.244	0.052
179	5.278	0.053
180	5.313	0.053
181	5.347	0.053
182	5.381	0.054
183	5.415	0.054
184	5.449	0.054
185	5.483	0.055
186	5.517	0.055
187	5.551	0.056
188	5.586	0.056
189	5.620	0.056
190	5.654	0.057
191	5.689	0.057
192	5.723	0.057
193	5.757	0.058
194	5.792	0.058
195	5.826	0.058
196	5.861	0.059
197	5.895	0.059
198	5.930	0.059
199	5.964	0.060
200	5.999	0.060
201	6.033	0.060
202	6.068	0.061
203	6.103	0.061
204	6.137	0.061
205	6.172	0.062
206	6.207	0.062
207	6.242	0.062
208	6.277	0.063
209	6.311	0.063
210	6.346	0.063
211	6.381	0.064
212	6.416	0.064
213	6.451	0.065
214	6.486	0.065
215	6.521	0.065
216	6.557	0.066
217	6.592	0.066
218	6.627	0.066
219	6.662	0.067
220	6.697	0.067
221	6.733	0.067
222	6.768	0.068
223	6.803	0.068
224	6.839	0.068
225	6.874	0.069
226	6.910	0.069
227	6.945	0.069
228	6.981	0.070
229	7.016	0.070
230	7.052	0.071
231	7.088	0.071
232	7.123	0.071
233	7.159	0.072
234	7.195	0.072
235	7.231	0.072
236	7.267	0.073
237	7.303	0.073
238	7.339	0.073
239	7.375	0.074
240	7.411	0.074
241	7.447	0.074
242	7.483	0.075
243	7.519	0.075
244	7.555	0.076
245	7.591	0.076
246	7.628	0.076
247	7.664	0.077
248	7.700	0.077
249	7.737	0.077
250	7.773	0.078
251	7.810	0.078
252	7.846	0.078
253	7.883	0.079
254	7.919	0.079
255	7.956	0.080
256	7.993	0.080
257	8.029	0.080
258	8.066	0.081
259	8.103	0.081
260	8.140	0.081
261	8.177	0.082
262	8.214	0.082
263	8.251	0.083
264	8.288	0.083
265	8.325	0.083
266	8.362	0.084
267	8.399	0.084
268	8.436	0.084
269	8.474	0.085
270	8.511	0.085
271	8.548	0.085
272	8.586	0.086
273	8.623	0.086
274	8.660	0.087
275	8.698	0.087
276	8.735	0.087
277	8.773	0.088
278	8.811	0.088
279	8.848	0.088
280	8.886	0.089
281	8.924	0.089
282	8.962	0.090
283	9.000	0.090
284	9.037	0.090
285	9.075	0.091
286	9.113	0.091
287	9.151	0.092
288	9.190	0.092
289	9.228	0.092
290	9.266	0.093
291	9.304	0.093
292	9.342	0.093
293	9.381	0.094
294	9.419	0.094
295	9.457	0.095
296	9.496	0.095
297	9.534	0.095
298	9.573	0.096
299	9.611	0.096
300	9.650	0.096
301	9.688	0.097
302	9.727	0.097
303	9.766	0.098
304	9.805	0.098
305	9.843	0.098
306	9.882	0.099
307	9.921	0.099
308	9.960	0.100
309	9.999	0.100
310	10.04	0.10
311	10.08	0.10
312	10.12	0.10
313	10.16	0.10
314	10.19	0.10
315	10.23	0.10
316	10.27	0.10
317	10.31	0.10
318	10.35	0.10
319	10.39	0.10
320	10.43	0.10
321	10.47	0.10
322	10.51	0.11
323	10.55	0.11
324	10.59	0.11
325	10.63	0.11
326	10.67	0.11
327	10.71	0.11
328	10.75	0.11
329	10.79	0.11
330	10.83	0.11
331	10.87	0.11
332	10.91	0.11
333	10.95	0.11
334	10.99	0.11
335	11.03	0.11
336	11.07	0.11
337	11.11	0.11
338	11.15	0.11
339	11.19	0.11
340	11.23	0.11
341	11.27	0.11
342	11.31	0.11
343	11.35	0.11
344	11.39	0.11
345	11.43	0.11
346	11.47	0.11
347	11.51	0.12
348	11.55	0.12
349	11.59	0.12
350	11.63	0.12
351	11.68	0.12
352	11.72	0.12
353	11.76	0.12
354	11.80	0.12
355	11.84	0.12
356	11.88	0.12
357	11.92	0.12
358	11.96	0.12
359	12.00	0.12
360	12.04	0.12
361	12.08	0.12
362	12.13	0.12
363	12.17	0.12
364	12.21	0.12
365	12.25	0.12
366	12.29	0.12
367	12.33	0.12
368	12.37	0.12
369	12.42	0.12
370	12.46	0.12
371	12.50	0.12
372	12.54	0.13
373	12.58	0.13
374	12.62	0.13
375	12.67	0.13
376	12.71	0.13
377	12.75	0.13
378	12.79	0.13
379	12.83	0.13
380	12.87	0.13
381	12.92	0.13
382	12.96	0.13
383	13.00	0.13
384	13.04	0.13
385	13.08	0.13
386	13.13	0.13
387	13.17	0.13
388	13.21	0.13
389	13.25	0.13
390	13.30	0.13
391	13.34	0.13
392	13.38	0.13
393	13.42	0.13
394	13.47	0.13
395	13.51	0.14
396	13.55	0.14
397	13.59	0.14
398	13.64	0.14
399	13.68	0.14
400	13.72	0.14
