Table: Internal Energy [G]
Temperature {K} 	 Pressure {Pa} 	 Specific Internal Energy {J/Kg}
197 	 200000 	 6.457601e+05
198 	 200000 	 6.464082e+05
199 	 200000 	 6.470491e+05
200 	 200000 	 6.476873e+05
201 	 200000 	 6.482980e+05
202 	 200000 	 6.489372e+05
203 	 200000 	 6.495457e+05
204 	 200000 	 6.501454e+05
205 	 200000 	 6.507618e+05
206 	 200000 	 6.513565e+05
207 	 200000 	 6.519540e+05
208 	 200000 	 6.525444e+05
209 	 200000 	 6.531348e+05
210 	 200000 	 6.537186e+05
211 	 200000 	 6.542995e+05
212 	 200000 	 6.554284e+05
212 	 400000 	 6.518455e+05
213 	 200000 	 6.560658e+05
213 	 400000 	 6.525437e+05
214 	 200000 	 6.566574e+05
214 	 400000 	 6.532294e+05
215 	 200000 	 6.572700e+05
215 	 400000 	 6.539128e+05
216 	 200000 	 6.578717e+05
216 	 400000 	 6.545821e+05
217 	 200000 	 6.584573e+05
217 	 400000 	 6.552411e+05
218 	 200000 	 6.590795e+05
218 	 400000 	 6.559115e+05
219 	 200000 	 6.596303e+05
219 	 400000 	 6.565377e+05
220 	 200000 	 6.602247e+05
220 	 400000 	 6.571888e+05
221 	 200000 	 6.608049e+05
221 	 400000 	 6.578241e+05
222 	 200000 	 6.615572e+05
222 	 400000 	 6.587170e+05
222 	 600000 	 6.554189e+05
223 	 200000 	 6.622371e+05
223 	 400000 	 6.594170e+05
223 	 600000 	 6.561641e+05
224 	 200000 	 6.628240e+05
224 	 400000 	 6.600648e+05
224 	 600000 	 6.568953e+05
225 	 200000 	 6.634466e+05
225 	 400000 	 6.607312e+05
225 	 600000 	 6.576271e+05
226 	 200000 	 6.640655e+05
226 	 400000 	 6.613880e+05
226 	 600000 	 6.583455e+05
227 	 200000 	 6.647037e+05
227 	 400000 	 6.620696e+05
227 	 600000 	 6.590823e+05
228 	 200000 	 6.652904e+05
228 	 400000 	 6.626951e+05
228 	 600000 	 6.597715e+05
229 	 200000 	 6.659685e+05
229 	 400000 	 6.634105e+05
229 	 600000 	 6.605389e+05
229 	 800000 	 6.573111e+05
230 	 200000 	 6.665982e+05
230 	 400000 	 6.640697e+05
230 	 600000 	 6.612525e+05
230 	 800000 	 6.580883e+05
231 	 200000 	 6.672339e+05
231 	 400000 	 6.647488e+05
231 	 600000 	 6.619679e+05
