Table: Internal Energy [G]
Pressure {Pa} 	 Temperature {K} 	 Specific Internal Energy {J/Kg}
200000 	 1.968720e+02 	 6.456761e+05
200000 	 197 	 6.457601e+05
200000 	 198 	 6.464082e+05
200000 	 199 	 6.470491e+05
200000 	 200 	 6.476873e+05
200000 	 201 	 6.482980e+05
200000 	 202 	 6.489372e+05
200000 	 203 	 6.495457e+05
200000 	 204 	 6.501454e+05
200000 	 205 	 6.507618e+05
200000 	 206 	 6.513565e+05
200000 	 207 	 6.519540e+05
200000 	 208 	 6.525444e+05
200000 	 209 	 6.531348e+05
200000 	 210 	 6.537186e+05
200000 	 211 	 6.542995e+05
200000 	 212 	 6.554284e+05
200000 	 213 	 6.560658e+05
200000 	 214 	 6.566574e+05
200000 	 215 	 6.572700e+05
200000 	 216 	 6.578717e+05
200000 	 217 	 6.584573e+05
200000 	 218 	 6.590795e+05
200000 	 219 	 6.596303e+05
200000 	 220 	 6.602247e+05
200000 	 221 	 6.608049e+05
200000 	 222 	 6.615572e+05
200000 	 223 	 6.622371e+05
200000 	 224 	 6.628240e+05
200000 	 225 	 6.634466e+05
200000 	 226 	 6.640655e+05
200000 	 227 	 6.647037e+05
200000 	 228 	 6.652904e+05
200000 	 229 	 6.659685e+05
200000 	 230 	 6.665982e+05
200000 	 231 	 6.672339e+05
200000 	 232 	 6.678559e+05
200000 	 233 	 6.684823e+05
200000 	 234 	 6.690949e+05
200000 	 235 	 6.697803e+05
200000 	 236 	 6.703956e+05
200000 	 237 	 6.710146e+05
200000 	 238 	 6.716677e+05
200000 	 239 	 6.722904e+05
200000 	 240 	 6.729180e+05
200000 	 241 	 6.735612e+05
200000 	 242 	 6.742101e+05
200000 	 243 	 6.748426e+05
200000 	 244 	 6.754923e+05
200000 	 245 	 6.760967e+05
200000 	 246 	 6.767681e+05
200000 	 247 	 6.774163e+05
200000 	 248 	 6.780461e+05
200000 	 249 	 6.786751e+05
200000 	 250 	 6.793510e+05
200000 	 251 	 6.799717e+05
200000 	 252 	 6.806302e+05
200000 	 253 	 6.812518e+05
200000 	 254 	 6.819349e+05
200000 	 255 	 6.825970e+05
200000 	 256 	 6.832104e+05
200000 	 257 	 6.838994e+05
200000 	 258 	 6.845452e+05
200000 	 259 	 6.851945e+05
200000 	 260 	 6.858327e+05
200000 	 261 	 6.865085e+05
200000 	 262 	 6.871606e+05
200000 	 263 	 6.878096e+05
200000 	 264 	 6.884856e+05
200000 	 265 	 6.891413e+05
200000 	 266 	 6.897899e+05
200000 	 267 	 6.904769e+05
200000 	 268 	 6.911270e+05
200000 	 269 	 6.917913e+05
200000 	 270 	 6.924499e+05
200000 	 271 	 6.931079e+05
200000 	 272 	 6.938115e+05
200000 	 273 	 6.944552e+05
