Table: Isobaric coefficient of expansion [G]
Temperature {K} 	Pressure {kPa} 	Isobaric coefficient of expansion {1/K} 	Uncertainty {1/K} 
197	200	0.00595	0.00015
198	200	0.00589	0.00014
199	200	0.00584	0.00014
200	200	0.00579	0.00013
201	200	0.00573	0.00012
202	200	0.00569	0.00012
203	200	0.00564	0.00011
204	200	0.00559	0.00010
205	200	0.005549	9.9e-5
206	200	0.005505	9.4e-5
207	200	0.005463	9.0e-5
208	200	0.005422	8.6e-5
209	200	0.005382	8.2e-5
210	200	0.005343	7.8e-5
211	200	0.005305	7.4e-5
212	200	0.005267	7.1e-5
212	400	0.00607	0.00019
213	200	0.005231	6.8e-5
213	400	0.00601	0.00018
214	200	0.005195	6.5e-5
214	400	0.00594	0.00017
215	200	0.005160	6.2e-5
215	400	0.00588	0.00016
216	200	0.005126	5.9e-5
216	400	0.00582	0.00015
217	200	0.005093	5.7e-5
217	400	0.00576	0.00014
218	200	0.005060	5.4e-5
218	400	0.00571	0.00013
219	200	0.005028	5.2e-5
219	400	0.00565	0.00013
220	200	0.004996	5.0e-5
220	400	0.00560	0.00012
221	200	0.004965	4.7e-5
221	400	0.00555	0.00011
222	200	0.004935	4.5e-5
222	400	0.00550	0.00011
222	600	0.00627	0.00021
223	200	0.004905	4.4e-5
223	400	0.00546	0.00010
223	600	0.00620	0.00020
224	200	0.004875	4.2e-5
224	400	0.005410	9.8e-5
224	600	0.00612	0.00019
225	200	0.004846	4.0e-5
225	400	0.005365	9.3e-5
225	600	0.00605	0.00018
226	200	0.004818	3.8e-5
226	400	0.005322	8.9e-5
226	600	0.00598	0.00017
227	200	0.004790	3.7e-5
227	400	0.005279	8.5e-5
227	600	0.00592	0.00016
228	200	0.004762	3.5e-5
228	400	0.005238	8.1e-5
228	600	0.00585	0.00015
229	200	0.004735	3.4e-5
229	400	0.005198	7.7e-5
229	600	0.00579	0.00014
229	800	0.00657	0.00024
230	200	0.004709	3.3e-5
230	400	0.005159	7.4e-5
230	600	0.00573	0.00013
230	800	0.00648	0.00023
231	200	0.004682	3.1e-5
231	400	0.005121	7.1e-5
231	600	0.00568	0.00013
231	800	0.00639	0.00022
232	200	0.004656	3.0e-5
232	400	0.005084	6.8e-5
232	600	0.00562	0.00012
232	800	0.00631	0.00020
233	200	0.004631	2.9e-5
233	400	0.005047	6.5e-5
233	600	0.00557	0.00011
233	800	0.00623	0.00019
234	200	0.004606	2.8e-5
234	400	0.005012	6.2e-5
234	600	0.00552	0.00011
234	800	0.00615	0.00018
235	200	0.004581	2.7e-5
235	400	0.004977	5.9e-5
235	600	0.00547	0.00010
235	800	0.00608	0.00017
235	1000	0.00688	0.00027
236	200	0.004556	2.6e-5
236	400	0.004943	5.7e-5
236	600	0.005417	9.9e-5
236	800	0.00601	0.00016
236	1000	0.00677	0.00026
237	200	0.004532	2.5e-5
237	400	0.004909	5.5e-5
237	600	0.005369	9.4e-5
237	800	0.00594	0.00015
237	1000	0.00667	0.00024
238	200	0.004509	2.4e-5
238	400	0.004876	5.2e-5
238	600	0.005323	9.0e-5
238	800	0.00588	0.00014
238	1000	0.00658	0.00023
239	200	0.004485	2.3e-5
239	400	0.004844	5.0e-5
239	600	0.005279	8.6e-5
239	800	0.00581	0.00014
239	1000	0.00649	0.00021
240	200	0.004462	2.2e-5
240	400	0.004813	4.8e-5
240	600	0.005235	8.2e-5
240	800	0.00575	0.00013
240	1000	0.00640	0.00020
241	200	0.004439	2.1e-5
241	400	0.004782	4.6e-5
241	600	0.005193	7.9e-5
241	800	0.00569	0.00012
241	1000	0.00631	0.00019
241	1200	0.00711	0.00029
242	200	0.004416	2.0e-5
242	400	0.004752	4.4e-5
242	600	0.005151	7.5e-5
242	800	0.00564	0.00012
242	1000	0.00623	0.00018
242	1200	0.00699	0.00027
243	200	0.004394	1.9e-5
243	400	0.004722	4.3e-5
243	600	0.005111	7.2e-5
243	800	0.00558	0.00011
243	1000	0.00616	0.00017
243	1200	0.00688	0.00025
244	200	0.004372	1.9e-5
244	400	0.004693	4.1e-5
244	600	0.005072	6.9e-5
244	800	0.00553	0.00011
244	1000	0.00608	0.00016
244	1200	0.00678	0.00023
245	200	0.004350	1.8e-5
245	400	0.004664	3.9e-5
245	600	0.005033	6.6e-5
245	800	0.00547	0.00010
245	1000	0.00601	0.00015
245	1200	0.00668	0.00022
246	200	0.004329	1.7e-5
246	400	0.004636	3.8e-5
246	600	0.004996	6.3e-5
246	800	0.005424	9.6e-5
246	1000	0.00594	0.00014
246	1200	0.00658	0.00021
246	1400	0.00739	0.00030
247	200	0.004308	1.7e-5
247	400	0.004608	3.6e-5
247	600	0.004959	6.1e-5
247	800	0.005375	9.2e-5
247	1000	0.00588	0.00013
247	1200	0.00649	0.00019
247	1400	0.00726	0.00028
248	200	0.004287	1.6e-5
248	400	0.004581	3.5e-5
248	600	0.004923	5.8e-5
248	800	0.005328	8.8e-5
248	1000	0.00581	0.00013
248	1200	0.00640	0.00018
248	1400	0.00714	0.00026
249	200	0.004266	1.6e-5
249	400	0.004554	3.4e-5
249	600	0.004888	5.6e-5
249	800	0.005281	8.4e-5
249	1000	0.00575	0.00012
249	1200	0.00632	0.00017
249	1400	0.00702	0.00025
250	200	0.004246	1.5e-5
250	400	0.004528	3.2e-5
250	600	0.004854	5.3e-5
250	800	0.005236	8.0e-5
250	1000	0.00569	0.00012
250	1200	0.00624	0.00016
250	1400	0.00691	0.00023
250	1600	0.00776	0.00033
251	200	0.004225	1.4e-5
251	400	0.004502	3.1e-5
251	600	0.004820	5.1e-5
251	800	0.005192	7.7e-5
251	1000	0.00563	0.00011
251	1200	0.00616	0.00015
251	1400	0.00680	0.00022
251	1600	0.00761	0.00031
252	200	0.004205	1.4e-5
252	400	0.004476	3.0e-5
252	600	0.004787	4.9e-5
252	800	0.005150	7.3e-5
252	1000	0.00558	0.00010
252	1200	0.00608	0.00015
252	1400	0.00670	0.00021
252	1600	0.00748	0.00029
253	200	0.004186	1.3e-5
253	400	0.004451	2.9e-5
253	600	0.004755	4.7e-5
253	800	0.005108	7.0e-5
253	1000	0.005521	0.000100
253	1200	0.00601	0.00014
253	1400	0.00661	0.00019
253	1600	0.00734	0.00027
254	200	0.004166	1.3e-5
254	400	0.004426	2.8e-5
254	600	0.004724	4.6e-5
254	800	0.005067	6.7e-5
254	1000	0.005468	9.5e-5
254	1200	0.00594	0.00013
254	1400	0.00652	0.00018
254	1600	0.00722	0.00025
254	1800	0.00810	0.00036
255	200	0.004147	1.2e-5
255	400	0.004402	2.7e-5
255	600	0.004693	4.4e-5
255	800	0.005027	6.5e-5
255	1000	0.005417	9.1e-5
255	1200	0.00588	0.00013
255	1400	0.00643	0.00017
255	1600	0.00710	0.00024
255	1800	0.00794	0.00033
256	200	0.004128	1.2e-5
256	400	0.004378	2.6e-5
256	600	0.004662	4.2e-5
256	800	0.004989	6.2e-5
256	1000	0.005367	8.7e-5
256	1200	0.00581	0.00012
256	1400	0.00634	0.00016
256	1600	0.00698	0.00022
256	1800	0.00778	0.00031
257	200	0.004109	1.2e-5
257	400	0.004354	2.5e-5
257	600	0.004632	4.1e-5
257	800	0.004951	6.0e-5
257	1000	0.005319	8.3e-5
257	1200	0.00575	0.00011
257	1400	0.00626	0.00015
257	1600	0.00688	0.00021
257	1800	0.00764	0.00029
257	2000	0.00860	0.00040
258	200	0.004090	1.1e-5
258	400	0.004331	2.4e-5
258	600	0.004603	3.9e-5
258	800	0.004914	5.7e-5
258	1000	0.005272	8.0e-5
258	1200	0.00569	0.00011
258	1400	0.00618	0.00015
258	1600	0.00677	0.00020
258	1800	0.00750	0.00027
258	2000	0.00841	0.00037
259	200	0.004071	1.1e-5
259	400	0.004308	2.3e-5
259	600	0.004574	3.8e-5
259	800	0.004877	5.5e-5
259	1000	0.005226	7.6e-5
259	1200	0.00563	0.00010
259	1400	0.00611	0.00014
259	1600	0.00667	0.00019
259	1800	0.00737	0.00025
259	2000	0.00823	0.00034
260	200	0.004053	1.0e-5
260	400	0.004285	2.2e-5
260	600	0.004546	3.6e-5
260	800	0.004842	5.3e-5
260	1000	0.005181	7.3e-5
260	1200	0.005573	9.9e-5
260	1400	0.00603	0.00013
260	1600	0.00658	0.00017
260	1800	0.00724	0.00023
260	2000	0.00806	0.00032
261	200	0.004035	1.0e-5
261	400	0.004262	2.2e-5
261	600	0.004518	3.5e-5
261	800	0.004807	5.1e-5
261	1000	0.005137	7.0e-5
261	1200	0.005518	9.4e-5
261	1400	0.00596	0.00012
261	1600	0.00649	0.00017
261	1800	0.00712	0.00022
261	2000	0.00790	0.00030
261	2200	0.00889	0.00041
262	200	0.0040171	9.8e-6
262	400	0.004240	2.1e-5
262	600	0.004491	3.4e-5
262	800	0.004773	4.9e-5
262	1000	0.005095	6.7e-5
262	1200	0.005464	9.0e-5
262	1400	0.00589	0.00012
262	1600	0.00640	0.00016
262	1800	0.00701	0.00021
262	2000	0.00775	0.00028
262	2200	0.00868	0.00037
263	200	0.0039993	9.5e-6
263	400	0.004218	2.0e-5
263	600	0.004464	3.3e-5
263	800	0.004740	4.7e-5
263	1000	0.005053	6.5e-5
263	1200	0.005412	8.6e-5
263	1400	0.00583	0.00011
263	1600	0.00632	0.00015
263	1800	0.00690	0.00019
263	2000	0.00760	0.00026
263	2200	0.00848	0.00035
264	200	0.0039818	9.1e-6
264	400	0.004197	1.9e-5
264	600	0.004437	3.1e-5
264	800	0.004707	4.5e-5
264	1000	0.005013	6.2e-5
264	1200	0.005362	8.3e-5
264	1400	0.00576	0.00011
264	1600	0.00624	0.00014
264	1800	0.00679	0.00018
264	2000	0.00747	0.00024
264	2200	0.00830	0.00032
264	2400	0.00936	0.00044
265	200	0.0039644	8.8e-6
265	400	0.004176	1.9e-5
265	600	0.004411	3.0e-5
265	800	0.004675	4.4e-5
265	1000	0.004973	6.0e-5
265	1200	0.005313	7.9e-5
265	1400	0.00570	0.00010
265	1600	0.00616	0.00013
265	1800	0.00669	0.00017
265	2000	0.00734	0.00023
265	2200	0.00813	0.00030
265	2400	0.00912	0.00040
266	200	0.0039471	8.6e-6
266	400	0.004155	1.8e-5
266	600	0.004386	2.9e-5
266	800	0.004644	4.2e-5
266	1000	0.004935	5.7e-5
266	1200	0.005265	7.6e-5
266	1400	0.005644	9.9e-5
266	1600	0.00608	0.00013
266	1800	0.00660	0.00016
266	2000	0.00721	0.00021
266	2200	0.00796	0.00028
266	2400	0.00890	0.00037
267	200	0.0039301	8.3e-6
267	400	0.004134	1.8e-5
267	600	0.004360	2.8e-5
267	800	0.004613	4.1e-5
267	1000	0.004897	5.5e-5
267	1200	0.005218	7.3e-5
267	1400	0.005586	9.4e-5
267	1600	0.00601	0.00012
267	1800	0.00651	0.00016
267	2000	0.00710	0.00020
267	2200	0.00781	0.00026
267	2400	0.00869	0.00034
267	2600	0.00982	0.00047
268	200	0.0039132	8.0e-6
268	400	0.004114	1.7e-5
268	600	0.004336	2.7e-5
268	800	0.004583	3.9e-5
268	1000	0.004860	5.3e-5
268	1200	0.005173	7.0e-5
268	1400	0.005530	9.0e-5
268	1600	0.00594	0.00012
268	1800	0.00642	0.00015
268	2000	0.00698	0.00019
268	2200	0.00766	0.00024
268	2400	0.00850	0.00032
268	2600	0.00955	0.00043
269	200	0.0038965	7.8e-6
269	400	0.004093	1.7e-5
269	600	0.004311	2.6e-5
269	800	0.004553	3.8e-5
269	1000	0.004824	5.1e-5
269	1200	0.005129	6.7e-5
269	1400	0.005475	8.6e-5
269	1600	0.00587	0.00011
269	1800	0.00633	0.00014
269	2000	0.00688	0.00018
269	2200	0.00752	0.00023
269	2400	0.00831	0.00030
269	2600	0.00931	0.00039
269	2800	0.01059	0.00054
270	200	0.0038799	7.6e-6
270	400	0.004073	1.6e-5
270	600	0.004287	2.6e-5
270	800	0.004524	3.7e-5
270	1000	0.004788	4.9e-5
270	1200	0.005086	6.4e-5
270	1400	0.005422	8.3e-5
270	1600	0.00581	0.00010
270	1800	0.00625	0.00013
270	2000	0.00677	0.00017
270	2200	0.00739	0.00021
270	2400	0.00814	0.00028
270	2600	0.00907	0.00036
270	2800	0.01027	0.00049
271	200	0.0038635	7.3e-6
271	400	0.004054	1.5e-5
271	600	0.004263	2.5e-5
271	800	0.004495	3.5e-5
271	1000	0.004754	4.8e-5
271	1200	0.005044	6.2e-5
271	1400	0.005371	7.9e-5
271	1600	0.00574	0.00010
271	1800	0.00617	0.00013
271	2000	0.00667	0.00016
271	2200	0.00727	0.00020
271	2400	0.00798	0.00026
271	2600	0.00886	0.00034
271	2800	0.00997	0.00045
272	200	0.0038473	7.1e-6
272	400	0.004034	1.5e-5
272	600	0.004240	2.4e-5
272	800	0.004467	3.4e-5
272	1000	0.004720	4.6e-5
272	1200	0.005002	6.0e-5
272	1400	0.005321	7.6e-5
272	1600	0.005682	9.6e-5
272	1800	0.00610	0.00012
272	2000	0.00658	0.00015
272	2200	0.00715	0.00019
272	2400	0.00783	0.00024
272	2600	0.00865	0.00031
272	2800	0.00970	0.00041
272	3000	0.01106	0.00056
273	200	0.0038312	6.9e-6
273	400	0.004015	1.5e-5
273	600	0.004217	2.3e-5
273	800	0.004440	3.3e-5
273	1000	0.004687	4.4e-5
273	1200	0.004962	5.7e-5
273	1400	0.005272	7.3e-5
273	1600	0.005623	9.2e-5
273	1800	0.00602	0.00011
273	2000	0.00649	0.00014
273	2200	0.00703	0.00018
273	2400	0.00768	0.00023
273	2600	0.00846	0.00029
273	2800	0.00944	0.00038
273	3000	0.01070	0.00051
274	200	0.0038153	6.7e-6
274	400	0.003996	1.4e-5
274	600	0.004194	2.2e-5
274	800	0.004412	3.2e-5
274	1000	0.004654	4.3e-5
274	1200	0.004923	5.5e-5
274	1400	0.005225	7.0e-5
274	1600	0.005565	8.8e-5
274	1800	0.00595	0.00011
274	2000	0.00640	0.00014
274	2200	0.00692	0.00017
274	2400	0.00754	0.00021
274	2600	0.00828	0.00027
274	2800	0.00920	0.00035
274	3000	0.01037	0.00046
275	200	0.0037995	6.5e-6
275	400	0.003977	1.4e-5
275	600	0.004172	2.2e-5
275	800	0.004386	3.1e-5
275	1000	0.004622	4.1e-5
275	1200	0.004885	5.3e-5
