Table: Isothermal compressibility [G]
Temperature {K} 	Pressure {kPa} 	Isothermal compressibility {1/kPa} 	Uncertainty {1/kPa} 
197	200	0.005242	2.0e-5
198	200	0.005237	1.9e-5
199	200	0.005231	1.8e-5
200	200	0.005226	1.7e-5
201	200	0.005221	1.6e-5
202	200	0.005216	1.6e-5
203	200	0.005212	1.5e-5
204	200	0.005207	1.4e-5
205	200	0.005203	1.3e-5
206	200	0.005199	1.3e-5
207	200	0.005195	1.2e-5
208	200	0.005191	1.2e-5
209	200	0.005187	1.1e-5
210	200	0.005184	1.1e-5
211	200	0.005180	1.0e-5
212	200	0.0051768	9.9e-6
212	400	0.002706	1.4e-5
213	200	0.0051736	9.5e-6
213	400	0.002701	1.3e-5
214	200	0.0051704	9.1e-6
214	400	0.002697	1.3e-5
215	200	0.0051674	8.7e-6
215	400	0.002692	1.2e-5
216	200	0.0051644	8.4e-6
216	400	0.002688	1.1e-5
217	200	0.0051616	8.1e-6
217	400	0.002684	1.1e-5
218	200	0.0051588	7.8e-6
218	400	0.002680	1.0e-5
219	200	0.0051561	7.5e-6
219	400	0.0026765	9.8e-6
220	200	0.0051534	7.2e-6
220	400	0.0026730	9.4e-6
221	200	0.0051509	7.0e-6
221	400	0.0026695	9.0e-6
222	200	0.0051484	6.7e-6
222	400	0.0026662	8.6e-6
222	600	0.001856	1.2e-5
223	200	0.0051460	6.5e-6
223	400	0.0026629	8.2e-6
223	600	0.001851	1.1e-5
224	200	0.0051436	6.3e-6
224	400	0.0026598	7.8e-6
224	600	0.001847	1.0e-5
225	200	0.0051413	6.1e-6
225	400	0.0026568	7.5e-6
225	600	0.0018432	9.9e-6
226	200	0.0051391	5.9e-6
226	400	0.0026539	7.2e-6
226	600	0.0018393	9.4e-6
227	200	0.0051369	5.7e-6
227	400	0.0026511	6.9e-6
227	600	0.0018356	9.0e-6
228	200	0.0051348	5.5e-6
228	400	0.0026484	6.7e-6
228	600	0.0018320	8.5e-6
229	200	0.0051327	5.4e-6
229	400	0.0026457	6.4e-6
229	600	0.0018286	8.1e-6
229	800	0.001433	1.1e-5
230	200	0.0051306	5.2e-6
230	400	0.0026432	6.2e-6
230	600	0.0018253	7.7e-6
230	800	0.001428	1.0e-5
231	200	0.0051287	5.1e-6
231	400	0.0026407	6.0e-6
231	600	0.0018221	7.4e-6
231	800	0.0014241	9.7e-6
232	200	0.0051267	4.9e-6
232	400	0.0026382	5.8e-6
232	600	0.0018190	7.1e-6
232	800	0.0014201	9.1e-6
233	200	0.0051248	4.8e-6
233	400	0.0026359	5.6e-6
233	600	0.0018161	6.8e-6
233	800	0.0014163	8.6e-6
234	200	0.0051230	4.7e-6
234	400	0.0026336	5.4e-6
234	600	0.0018132	6.5e-6
234	800	0.0014126	8.2e-6
235	200	0.0051212	4.5e-6
235	400	0.0026314	5.2e-6
235	600	0.0018104	6.2e-6
235	800	0.0014090	7.8e-6
235	1000	0.001179	1.0e-5
236	200	0.0051194	4.4e-6
236	400	0.0026292	5.1e-6
236	600	0.0018077	6.0e-6
236	800	0.0014056	7.4e-6
236	1000	0.0011741	9.6e-6
237	200	0.0051177	4.3e-6
237	400	0.0026271	4.9e-6
237	600	0.0018051	5.8e-6
237	800	0.0014023	7.1e-6
237	1000	0.0011698	9.0e-6
238	200	0.0051160	4.2e-6
238	400	0.0026251	4.8e-6
238	600	0.0018026	5.6e-6
238	800	0.0013992	6.7e-6
238	1000	0.0011657	8.5e-6
239	200	0.0051143	4.1e-6
239	400	0.0026231	4.6e-6
239	600	0.0018002	5.4e-6
239	800	0.0013962	6.4e-6
239	1000	0.0011619	8.0e-6
240	200	0.0051127	4.0e-6
240	400	0.0026212	4.5e-6
240	600	0.0017978	5.2e-6
240	800	0.0013932	6.1e-6
240	1000	0.0011582	7.6e-6
241	200	0.0051111	3.9e-6
241	400	0.0026193	4.4e-6
241	600	0.0017955	5.0e-6
241	800	0.0013904	5.9e-6
241	1000	0.0011546	7.2e-6
241	1200	0.0010058	9.2e-6
242	200	0.0051096	3.9e-6
242	400	0.0026174	4.3e-6
242	600	0.0017933	4.8e-6
242	800	0.0013877	5.7e-6
242	1000	0.0011512	6.9e-6
242	1200	0.0010014	8.7e-6
243	200	0.0051080	3.8e-6
243	400	0.0026156	4.2e-6
243	600	0.0017912	4.7e-6
243	800	0.0013851	5.4e-6
243	1000	0.0011479	6.5e-6
243	1200	0.0009972	8.2e-6
244	200	0.0051065	3.7e-6
244	400	0.0026139	4.1e-6
244	600	0.0017891	4.5e-6
244	800	0.0013825	5.2e-6
244	1000	0.0011448	6.2e-6
244	1200	0.0009933	7.7e-6
245	200	0.0051051	3.6e-6
245	400	0.0026121	4.0e-6
245	600	0.0017870	4.4e-6
245	800	0.0013801	5.0e-6
245	1000	0.0011417	5.9e-6
245	1200	0.0009894	7.3e-6
246	200	0.0051037	3.6e-6
246	400	0.0026105	3.9e-6
246	600	0.0017850	4.3e-6
246	800	0.0013777	4.8e-6
246	1000	0.0011388	5.7e-6
246	1200	0.0009858	6.9e-6
246	1400	0.0008839	8.7e-6
247	200	0.0051023	3.5e-6
247	400	0.0026088	3.8e-6
247	600	0.0017831	4.2e-6
247	800	0.0013754	4.7e-6
247	1000	0.0011360	5.4e-6
247	1200	0.0009823	6.5e-6
247	1400	0.0008795	8.1e-6
248	200	0.0051009	3.5e-6
248	400	0.0026072	3.7e-6
248	600	0.0017812	4.0e-6
248	800	0.0013731	4.5e-6
248	1000	0.0011333	5.2e-6
248	1200	0.0009790	6.2e-6
248	1400	0.0008752	7.6e-6
249	200	0.0050995	3.4e-6
249	400	0.0026057	3.6e-6
249	600	0.0017794	3.9e-6
249	800	0.0013710	4.4e-6
249	1000	0.0011307	5.0e-6
249	1200	0.0009758	5.9e-6
249	1400	0.0008712	7.2e-6
250	200	0.0050982	3.4e-6
250	400	0.0026041	3.6e-6
250	600	0.0017776	3.8e-6
250	800	0.0013689	4.2e-6
250	1000	0.0011282	4.8e-6
250	1200	0.0009727	5.6e-6
250	1400	0.0008673	6.8e-6
250	1600	0.0007953	8.6e-6
251	200	0.0050969	3.3e-6
251	400	0.0026026	3.5e-6
251	600	0.0017759	3.7e-6
251	800	0.0013668	4.1e-6
251	1000	0.0011257	4.6e-6
251	1200	0.0009697	5.4e-6
251	1400	0.0008637	6.4e-6
251	1600	0.0007906	8.0e-6
252	200	0.0050956	3.3e-6
252	400	0.0026012	3.4e-6
252	600	0.0017742	3.7e-6
252	800	0.0013648	4.0e-6
252	1000	0.0011234	4.5e-6
252	1200	0.0009669	5.1e-6
252	1400	0.0008601	6.1e-6
252	1600	0.0007861	7.5e-6
253	200	0.0050944	3.2e-6
253	400	0.0025997	3.4e-6
253	600	0.0017725	3.6e-6
253	800	0.0013629	3.9e-6
253	1000	0.0011211	4.3e-6
253	1200	0.0009641	4.9e-6
253	1400	0.0008568	5.8e-6
253	1600	0.0007819	7.0e-6
254	200	0.0050931	3.2e-6
254	400	0.0025983	3.3e-6
254	600	0.0017709	3.5e-6
254	800	0.0013610	3.8e-6
254	1000	0.0011189	4.2e-6
254	1200	0.0009615	4.7e-6
254	1400	0.0008536	5.5e-6
254	1600	0.0007779	6.6e-6
254	1800	0.0007256	8.3e-6
255	200	0.0050919	3.1e-6
255	400	0.0025970	3.3e-6
255	600	0.0017693	3.4e-6
255	800	0.0013592	3.7e-6
255	1000	0.0011167	4.0e-6
255	1200	0.0009590	4.5e-6
255	1400	0.0008505	5.2e-6
255	1600	0.0007741	6.2e-6
255	1800	0.0007207	7.7e-6
256	200	0.0050907	3.1e-6
256	400	0.0025956	3.2e-6
256	600	0.0017678	3.4e-6
256	800	0.0013574	3.6e-6
256	1000	0.0011147	3.9e-6
256	1200	0.0009565	4.3e-6
256	1400	0.0008475	5.0e-6
256	1600	0.0007704	5.9e-6
256	1800	0.0007161	7.2e-6
257	200	0.0050896	3.0e-6
257	400	0.0025943	3.1e-6
257	600	0.0017663	3.3e-6
257	800	0.0013557	3.5e-6
257	1000	0.0011127	3.8e-6
257	1200	0.0009541	4.2e-6
257	1400	0.0008447	4.8e-6
257	1600	0.0007669	5.6e-6
257	1800	0.0007117	6.7e-6
257	2000	0.0006742	8.5e-6
258	200	0.0050884	3.0e-6
258	400	0.0025930	3.1e-6
258	600	0.0017648	3.2e-6
258	800	0.0013540	3.4e-6
258	1000	0.0011107	3.7e-6
258	1200	0.0009518	4.0e-6
258	1400	0.0008419	4.6e-6
258	1600	0.0007636	5.3e-6
258	1800	0.0007076	6.3e-6
258	2000	0.0006689	7.9e-6
259	200	0.0050873	3.0e-6
259	400	0.0025917	3.1e-6
259	600	0.0017634	3.2e-6
259	800	0.0013524	3.3e-6
259	1000	0.0011088	3.6e-6
259	1200	0.0009496	3.9e-6
259	1400	0.0008393	4.4e-6
259	1600	0.0007604	5.0e-6
259	1800	0.0007036	6.0e-6
259	2000	0.0006639	7.3e-6
260	200	0.0050862	2.9e-6
260	400	0.0025905	3.0e-6
260	600	0.0017620	3.1e-6
260	800	0.0013508	3.3e-6
260	1000	0.0011070	3.5e-6
260	1200	0.0009474	3.8e-6
260	1400	0.0008368	4.2e-6
260	1600	0.0007574	4.8e-6
260	1800	0.0006999	5.6e-6
260	2000	0.0006592	6.8e-6
261	200	0.0050851	2.9e-6
261	400	0.0025893	3.0e-6
261	600	0.0017606	3.1e-6
261	800	0.0013492	3.2e-6
261	1000	0.0011052	3.4e-6
261	1200	0.0009454	3.7e-6
261	1400	0.0008343	4.0e-6
261	1600	0.0007544	4.6e-6
261	1800	0.0006963	5.3e-6
261	2000	0.0006547	6.4e-6
261	2200	0.0006269	8.0e-6
262	200	0.0050841	2.9e-6
262	400	0.0025881	2.9e-6
262	600	0.0017593	3.0e-6
262	800	0.0013477	3.1e-6
262	1000	0.0011034	3.3e-6
262	1200	0.0009433	3.5e-6
262	1400	0.0008319	3.9e-6
262	1600	0.0007516	4.4e-6
262	1800	0.0006929	5.0e-6
