Table: Joule-Thomson coefficient [G]
Temperature {K} 	Pressure {kPa} 	Joule-Thomson coefficient {K/kPa} 	Uncertainty {K/kPa} 
197	200	0.0357	0.0046
198	200	0.0349	0.0045
199	200	0.0342	0.0043
200	200	0.0336	0.0042
201	200	0.0329	0.0040
202	200	0.0323	0.0039
203	200	0.0317	0.0038
204	200	0.0311	0.0037
205	200	0.0305	0.0035
206	200	0.0300	0.0034
207	200	0.0295	0.0033
208	200	0.0290	0.0032
209	200	0.0285	0.0031
210	200	0.0280	0.0030
211	200	0.0275	0.0029
212	200	0.0271	0.0028
212	400	0.0287	0.0024
213	200	0.0267	0.0028
213	400	0.0282	0.0024
214	200	0.0263	0.0027
214	400	0.0278	0.0023
215	200	0.0259	0.0026
215	400	0.0273	0.0022
216	200	0.0255	0.0025
216	400	0.0268	0.0022
217	200	0.0251	0.0024
217	400	0.0264	0.0021
218	200	0.0247	0.0024
218	400	0.0260	0.0020
219	200	0.0244	0.0023
219	400	0.0256	0.0020
220	200	0.0240	0.0022
220	400	0.0252	0.0019
221	200	0.0237	0.0022
221	400	0.0248	0.0019
222	200	0.0234	0.0021
222	400	0.0244	0.0018
222	600	0.0252	0.0016
223	200	0.0230	0.0020
223	400	0.0240	0.0018
223	600	0.0248	0.0016
224	200	0.0227	0.0020
224	400	0.0237	0.0017
224	600	0.0244	0.0015
225	200	0.0224	0.0019
225	400	0.0233	0.0017
225	600	0.0240	0.0015
226	200	0.0221	0.0019
226	400	0.0230	0.0016
226	600	0.0237	0.0014
227	200	0.0219	0.0018
227	400	0.0227	0.0016
227	600	0.0233	0.0014
228	200	0.0216	0.0017
228	400	0.0223	0.0015
228	600	0.0230	0.0014
229	200	0.0213	0.0017
229	400	0.0220	0.0015
229	600	0.0226	0.0013
229	800	0.0231	0.0012
230	200	0.0210	0.0016
230	400	0.0217	0.0014
230	600	0.0223	0.0013
230	800	0.0228	0.0012
231	200	0.0208	0.0016
231	400	0.0214	0.0014
231	600	0.0220	0.0013
231	800	0.0225	0.0011
232	200	0.0205	0.0015
232	400	0.0212	0.0014
232	600	0.0217	0.0012
232	800	0.0221	0.0011
233	200	0.0203	0.0015
233	400	0.0209	0.0013
233	600	0.0214	0.0012
233	800	0.0218	0.0011
234	200	0.0200	0.0015
234	400	0.0206	0.0013
234	600	0.0211	0.0012
234	800	0.0215	0.0010
235	200	0.0198	0.0014
235	400	0.0203	0.0013
235	600	0.0208	0.0011
235	800	0.0212	0.0010
235	1000	0.02156	0.00091
236	200	0.0196	0.0014
236	400	0.0201	0.0012
236	600	0.0206	0.0011
236	800	0.02095	0.00099
236	1000	0.02126	0.00089
237	200	0.0193	0.0013
237	400	0.0198	0.0012
237	600	0.0203	0.0011
237	800	0.02066	0.00097
237	1000	0.02098	0.00087
238	200	0.0191	0.0013
238	400	0.0196	0.0012
238	600	0.0200	0.0010
238	800	0.02039	0.00094
238	1000	0.02070	0.00085
239	200	0.0189	0.0013
239	400	0.0194	0.0011
239	600	0.0198	0.0010
239	800	0.02012	0.00092
239	1000	0.02042	0.00083
240	200	0.0187	0.0012
240	400	0.0191	0.0011
240	600	0.01952	0.00099
240	800	0.01986	0.00090
240	1000	0.02016	0.00081
241	200	0.0185	0.0012
241	400	0.0189	0.0011
241	600	0.01927	0.00097
241	800	0.01961	0.00088
241	1000	0.01989	0.00079
241	1200	0.02014	0.00071
242	200	0.0183	0.0012
242	400	0.0187	0.0010
242	600	0.01904	0.00094
242	800	0.01936	0.00086
242	1000	0.01964	0.00078
242	1200	0.01988	0.00070
243	200	0.0181	0.0011
243	400	0.0185	0.0010
243	600	0.01880	0.00092
243	800	0.01912	0.00084
243	1000	0.01939	0.00076
243	1200	0.01962	0.00068
244	200	0.0179	0.0011
244	400	0.01824	0.00099
244	600	0.01858	0.00090
244	800	0.01888	0.00082
244	1000	0.01914	0.00074
244	1200	0.01937	0.00067
245	200	0.0177	0.0011
245	400	0.01803	0.00096
245	600	0.01836	0.00087
245	800	0.01865	0.00080
245	1000	0.01890	0.00072
245	1200	0.01913	0.00066
246	200	0.0175	0.0010
246	400	0.01783	0.00093
246	600	0.01814	0.00085
246	800	0.01842	0.00078
246	1000	0.01867	0.00071
246	1200	0.01889	0.00064
246	1400	0.01909	0.00058
247	200	0.0173	0.0010
247	400	0.01763	0.00091
247	600	0.01793	0.00083
247	800	0.01820	0.00076
247	1000	0.01844	0.00069
247	1200	0.01866	0.00063
247	1400	0.01885	0.00057
248	200	0.01712	0.00097
248	400	0.01743	0.00089
248	600	0.01772	0.00081
248	800	0.01798	0.00074
248	1000	0.01822	0.00068
248	1200	0.01843	0.00062
