Table: Thermal pressure coefficient [G] - partial dP/dT at constant volume
Temperature {K} 	Pressure {kPa} 	Thermal pressure coefficient {kPa/K} 	Uncertainty {kPa/K} 
197	200	1.134	0.025
198	200	1.125	0.023
199	200	1.116	0.022
200	200	1.107	0.021
201	200	1.098	0.020
202	200	1.090	0.019
203	200	1.082	0.018
204	200	1.074	0.017
205	200	1.066	0.016
206	200	1.059	0.016
207	200	1.052	0.015
208	200	1.045	0.014
209	200	1.038	0.014
210	200	1.031	0.013
211	200	1.024	0.012
212	200	1.018	0.012
212	400	2.244	0.057
213	200	1.011	0.011
213	400	2.223	0.054
214	200	1.005	0.011
214	400	2.203	0.052
215	200	0.999	0.010
215	400	2.184	0.049
216	200	0.993	0.010
216	400	2.165	0.046
217	200	0.9867	0.0096
217	400	2.147	0.044
218	200	0.9808	0.0092
218	400	2.129	0.042
219	200	0.9751	0.0088
219	400	2.112	0.040
220	200	0.9695	0.0085
220	400	2.096	0.038
221	200	0.9639	0.0081
221	400	2.080	0.036
222	200	0.9585	0.0078
222	400	2.064	0.035
222	600	3.380	0.094
223	200	0.9531	0.0075
223	400	2.049	0.033
223	600	3.346	0.088
224	200	0.9478	0.0072
224	400	2.034	0.031
224	600	3.314	0.084
225	200	0.9426	0.0069
225	400	2.019	0.030
225	600	3.282	0.079
226	200	0.9375	0.0066
226	400	2.005	0.029
226	600	3.252	0.075
227	200	0.9324	0.0063
227	400	1.991	0.028
227	600	3.223	0.071
228	200	0.9275	0.0061
228	400	1.978	0.026
228	600	3.195	0.068
229	200	0.9226	0.0059
229	400	1.965	0.025
229	600	3.167	0.065
229	800	4.59	0.14
230	200	0.9177	0.0056
230	400	1.952	0.024
230	600	3.141	0.061
230	800	4.54	0.13
231	200	0.9130	0.0054
231	400	1.939	0.023
231	600	3.115	0.059
231	800	4.49	0.12
232	200	0.9083	0.0052
232	400	1.927	0.022
232	600	3.090	0.056
232	800	4.44	0.12
233	200	0.9036	0.0050
233	400	1.915	0.021
233	600	3.065	0.053
233	800	4.40	0.11
234	200	0.8990	0.0048
234	400	1.903	0.020
234	600	3.042	0.051
234	800	4.36	0.10
235	200	0.8945	0.0046
235	400	1.891	0.020
235	600	3.019	0.049
235	800	4.316	0.099
235	1000	5.84	0.18
236	200	0.8900	0.0045
