Table: Heat capacity at constant pressure [L]
Temperature {K} 	Pressure {kPa} 	Heat capacity at constant pressure {J/K/mol} 	Uncertainty {J/K/mol} 
182.33	200	75.6	7.5
182.33	400	75.6	7.5
182.33	600	75.5	7.5
182.33	800	75.5	7.5
182.33	1000	75.5	7.5
182.33	1200	75.5	7.5
182.33	1400	75.5	7.5
182.33	1600	75.4	7.5
182.33	1800	75.4	7.5
182.33	2000	75.4	7.4
182.33	2200	75.4	7.4
182.33	2400	75.3	7.4
182.33	2600	75.3	7.4
182.33	2800	75.3	7.4
182.33	3000	75.3	7.4
182.33	3200	75.3	7.4
182.33	3400	75.2	7.4
182.33	3600	75.2	7.4
182.33	3800	75.2	7.4
182.33	4000	75.2	7.4
182.33	4200	75.2	7.4
182.33	4400	75.1	7.4
182.33	4600	75.1	7.4
182.33	4800	75.1	7.4
182.33	5000	75.1	7.4
182.33	5200	75.1	7.4
182.33	5400	75.0	7.4
182.33	5600	75.0	7.4
182.33	5800	75.0	7.4
182.33	6000	75.0	7.4
182.33	6200	75.0	7.4
182.33	6400	74.9	7.4
182.33	6600	74.9	7.4
182.33	6800	74.9	7.4
182.33	7000	74.9	7.4
182.33	7200	74.9	7.4
182.33	7400	74.8	7.4
182.33	7600	74.8	7.4
182.33	7800	74.8	7.4
182.33	8000	74.8	7.4
182.33	8200	74.8	7.4
182.33	8400	74.7	7.4
182.33	8600	74.7	7.4
182.33	8800	74.7	7.4
182.33	9000	74.7	7.4
182.33	9200	74.7	7.4
182.33	9400	74.7	7.4
182.33	9600	74.6	7.4
182.33	9800	74.6	7.4
182.33	10000	74.6	7.4
183	200	75.6	7.4
183	400	75.6	7.4
183	600	75.6	7.4
183	800	75.5	7.4
183	1000	75.5	7.4
183	1200	75.5	7.4
183	1400	75.5	7.4
183	1600	75.4	7.4
183	1800	75.4	7.4
183	2000	75.4	7.4
183	2200	75.4	7.4
183	2400	75.4	7.4
183	2600	75.3	7.4
183	2800	75.3	7.4
183	3000	75.3	7.4
183	3200	75.3	7.4
183	3400	75.3	7.4
183	3600	75.2	7.4
183	3800	75.2	7.4
183	4000	75.2	7.4
183	4200	75.2	7.4
183	4400	75.1	7.4
183	4600	75.1	7.4
183	4800	75.1	7.4
183	5000	75.1	7.4
183	5200	75.1	7.4
183	5400	75.0	7.4
183	5600	75.0	7.4
