Table: Density [L]
Temperature {K} 	Pressure {kPa} 	Density {kg/m^3} 	Uncertainty {kg/m^3} 
273.15	3200	907.7	4.9
273.15	3400	909.3	4.9
273.15	3600	910.8	4.9
273.15	3800	912.3	4.8
273.15	4000	913.8	4.8
273.15	4200	915.3	4.8
273.15	4400	916.8	4.7
273.15	4600	918.2	4.7
273.15	4800	919.6	4.7
273.15	5000	921.0	4.6
273.15	5200	922.4	4.6
273.15	5400	923.7	4.6
273.15	5600	925.1	4.6
273.15	5800	926.4	4.5
273.15	6000	927.7	4.5
273.15	6200	929.0	4.5
273.15	6400	930.2	4.5
273.15	6600	931.5	4.4
273.15	6800	932.7	4.4
273.15	7000	934.0	4.4
273.15	7200	935.2	4.4
273.15	7400	936.4	4.3
273.15	7600	937.6	4.3
273.15	7800	938.7	4.3
273.15	8000	939.9	4.3
273.15	8200	941.0	4.3
273.15	8400	942.2	4.2
273.15	8600	943.3	4.2
273.15	8800	944.4	4.2
273.15	9000	945.5	4.2
273.15	9200	946.6	4.2
273.15	9400	947.7	4.1
273.15	9600	948.7	4.1
273.15	9800	949.8	4.1
273.15	10000	950.8	4.1
274    3195.287    903.163    0
274	3200	902.8	4.9
274	3400	904.4	4.8
274	3600	906.0	4.8
274	3800	907.6	4.8
274	4000	909.2	4.7
274	4200	910.7	4.7
274	4400	912.2	4.7
274	4600	913.7	4.6
274	4800	915.1	4.6
274	5000	916.6	4.6
274	5200	918.0	4.6
274	5400	919.4	4.5
274	5600	920.7	4.5
274	5800	922.1	4.5
274	6000	923.4	4.5
274	6200	924.8	4.4
274	6400	926.1	4.4
274	6600	927.3	4.4
274	6800	928.6	4.4
274	7000	929.9	4.3
274	7200	931.1	4.3
274	7400	932.3	4.3
274	7600	933.6	4.3
274	7800	934.8	4.2
274	8000	935.9	4.2
274	8200	937.1	4.2
274	8400	938.3	4.2
274	8600	939.4	4.2
274	8800	940.6	4.1
274	9000	941.7	4.1
274	9200	942.8	4.1
274	9400	943.9	4.1
274	9600	945.0	4.1
274	9800	946.1	4.1
274	10000	947.1	4.0
275    3277.507    898.1    0
275	3400	898.6	4.8
275	3600	900.3	4.8
275	3800	901.9	4.7
275	4000	903.5	4.7
275	4200	905.1	4.7
275	4400	906.7	4.6
275	4600	908.2	4.6
275	4800	909.7	4.6
275	5000	911.2	4.5
275	5200	912.7	4.5
275	5400	914.1	4.5
275	5600	915.6	4.4
275	5800	917.0	4.4
275	6000	918.4	4.4
275	6200	919.7	4.4
275	6400	921.1	4.3
275	6600	922.4	4.3
275	6800	923.7	4.3
275	7000	925.0	4.3
275	7200	926.3	4.2
275	7400	927.5	4.2
275	7600	928.8	4.2
275	7800	930.0	4.2
275	8000	931.3	4.2
275	8200	932.5	4.1
275	8400	933.7	4.1
275	8600	934.8	4.1
275	8800	936.0	4.1
275	9000	937.2	4.1
275	9200	938.3	4.0
275	9400	939.4	4.0
275	9600	940.5	4.0
275	9800	941.7	4.0
275	10000	942.8	4.0
276    3361.27    892.958    0
276	3400	892.7	4.7
276	3600	894.4	4.7
276	3800	896.1	4.7
276	4000	897.8	4.6
276	4200	899.5	4.6
276	4400	901.1	4.6
276	4600	902.7	4.5
276	4800	904.3	4.5
276	5000	905.8	4.5
276	5200	907.3	4.4
276	5400	908.8	4.4
276	5600	910.3	4.4
276	5800	911.8	4.4
276	6000	913.2	4.3
276	6200	914.6	4.3
276	6400	916.0	4.3
276	6600	917.4	4.3
276	6800	918.7	4.2
276	7000	920.1	4.2
276	7200	921.4	4.2
276	7400	922.7	4.2
276	7600	924.0	4.1
276	7800	925.2	4.1
276	8000	926.5	4.1
276	8200	927.7	4.1
276	8400	929.0	4.1
276	8600	930.2	4.0
276	8800	931.4	4.0
276	9000	932.6	4.0
276	9200	933.7	4.0
276	9400	934.9	4.0
276	9600	936.1	3.9
276	9800	937.2	3.9
