Table: Enthalpy [L]
Temperature {K} 	 Pressure {Pa} 	 Specific Enthalpy {J/Kg}
1.823300e+02 	 8.773300e+04 	 2.952972e+05
1.823300e+02 	 200000 	 2.953486e+05
1.823300e+02 	 400000 	 2.954405e+05
1.823300e+02 	 600000 	 2.955326e+05
1.823300e+02 	 800000 	 2.956246e+05
1.823300e+02 	 1000000 	 2.957168e+05
1.823300e+02 	 1200000 	 2.958090e+05
1.823300e+02 	 1400000 	 2.959013e+05
1.823300e+02 	 1600000 	 2.959937e+05
1.823300e+02 	 1800000 	 2.960862e+05
1.823300e+02 	 2000000 	 2.961787e+05
1.823300e+02 	 2200000 	 2.962713e+05
1.823300e+02 	 2400000 	 2.963641e+05
1.823300e+02 	 2600000 	 2.964568e+05
1.823300e+02 	 2800000 	 2.965495e+05
1.823300e+02 	 3000000 	 2.966423e+05
1.823300e+02 	 3200000 	 2.967353e+05
1.823300e+02 	 3400000 	 2.968282e+05
1.823300e+02 	 3600000 	 2.969213e+05
1.823300e+02 	 3800000 	 2.970145e+05
1.823300e+02 	 4000000 	 2.971077e+05
1.823300e+02 	 4200000 	 2.972009e+05
1.823300e+02 	 4400000 	 2.972944e+05
1.823300e+02 	 4600000 	 2.973878e+05
1.823300e+02 	 4800000 	 2.974813e+05
1.823300e+02 	 5000000 	 2.975750e+05
1.823300e+02 	 5200000 	 2.976686e+05
1.823300e+02 	 5400000 	 2.977624e+05
1.823300e+02 	 5600000 	 2.978563e+05
1.823300e+02 	 5800000 	 2.979502e+05
1.823300e+02 	 6000000 	 2.980440e+05
1.823300e+02 	 6200000 	 2.981380e+05
1.823300e+02 	 6400000 	 2.982322e+05
1.823300e+02 	 6600000 	 2.983262e+05
1.823300e+02 	 6800000 	 2.984204e+05
1.823300e+02 	 7000000 	 2.985148e+05
1.823300e+02 	 7200000 	 2.986092e+05
1.823300e+02 	 7400000 	 2.987035e+05
1.823300e+02 	 7600000 	 2.987979e+05
1.823300e+02 	 7800000 	 2.988925e+05
1.823300e+02 	 8000000 	 2.989870e+05
1.823300e+02 	 8200000 	 2.990817e+05
1.823300e+02 	 8400000 	 2.991765e+05
1.823300e+02 	 8600000 	 2.992713e+05
1.823300e+02 	 8800000 	 2.993661e+05
1.823300e+02 	 9000000 	 2.994609e+05
1.823300e+02 	 9200000 	 2.995560e+05
1.823300e+02 	 9400000 	 2.996510e+05
1.823300e+02 	 9600000 	 2.997461e+05
1.823300e+02 	 9800000 	 2.998413e+05
1.823300e+02 	 10000000 	 2.999366e+05
1.833300e+02 	 9.331079e+04 	 2.970490e+05
1.833300e+02 	 200000 	 2.970975e+05
1.833300e+02 	 400000 	 2.971889e+05
1.833300e+02 	 600000 	 2.972804e+05
1.833300e+02 	 800000 	 2.973718e+05
1.833300e+02 	 1000000 	 2.974634e+05
1.833300e+02 	 1200000 	 2.975551e+05
1.833300e+02 	 1400000 	 2.976468e+05
1.833300e+02 	 1600000 	 2.977386e+05
1.833300e+02 	 1800000 	 2.978305e+05
1.833300e+02 	 2000000 	 2.979224e+05
1.833300e+02 	 2200000 	 2.980145e+05
1.833300e+02 	 2400000 	 2.981067e+05
1.833300e+02 	 2600000 	 2.981988e+05
1.833300e+02 	 2800000 	 2.982910e+05
1.833300e+02 	 3000000 	 2.983835e+05
1.833300e+02 	 3200000 	 2.984759e+05
1.833300e+02 	 3400000 	 2.985684e+05
1.833300e+02 	 3600000 	 2.986611e+05
1.833300e+02 	 3800000 	 2.987538e+05
1.833300e+02 	 4000000 	 2.988465e+05
1.833300e+02 	 4200000 	 2.989395e+05
1.833300e+02 	 4400000 	 2.990323e+05
1.833300e+02 	 4600000 	 2.991253e+05
1.833300e+02 	 4800000 	 2.992185e+05
1.833300e+02 	 5000000 	 2.993116e+05
1.833300e+02 	 5200000 	 2.994048e+05
1.833300e+02 	 5400000 	 2.994982e+05
1.833300e+02 	 5600000 	 2.995915e+05
1.833300e+02 	 5800000 	 2.996849e+05
1.833300e+02 	 6000000 	 2.997783e+05
1.833300e+02 	 6200000 	 2.998720e+05
1.833300e+02 	 6400000 	 2.999655e+05
1.833300e+02 	 6600000 	 3.000592e+05
1.833300e+02 	 6800000 	 3.001531e+05
1.833300e+02 	 7000000 	 3.002469e+05
1.833300e+02 	 7200000 	 3.003407e+05
1.833300e+02 	 7400000 	 3.004349e+05
1.833300e+02 	 7600000 	 3.005289e+05
1.833300e+02 	 7800000 	 3.006229e+05
1.833300e+02 	 8000000 	 3.007170e+05
1.833300e+02 	 8200000 	 3.008114e+05
1.833300e+02 	 8400000 	 3.009056e+05
1.833300e+02 	 8600000 	 3.010000e+05
1.833300e+02 	 8800000 	 3.010945e+05
1.833300e+02 	 9000000 	 3.011891e+05
1.833300e+02 	 9200000 	 3.012835e+05
1.833300e+02 	 9400000 	 3.013781e+05
1.833300e+02 	 9600000 	 3.014729e+05
1.833300e+02 	 9800000 	 3.015676e+05
1.833300e+02 	 10000000 	 3.016624e+05
1.843300e+02 	 9.916433e+04 	 2.988016e+05
1.843300e+02 	 200000 	 2.988473e+05
1.843300e+02 	 400000 	 2.989381e+05
1.843300e+02 	 600000 	 2.990291e+05
1.843300e+02 	 800000 	 2.991202e+05
1.843300e+02 	 1000000 	 2.992113e+05
1.843300e+02 	 1200000 	 2.993025e+05
1.843300e+02 	 1400000 	 2.993937e+05
1.843300e+02 	 1600000 	 2.994850e+05
1.843300e+02 	 1800000 	 2.995765e+05
1.843300e+02 	 2000000 	 2.996680e+05
1.843300e+02 	 2200000 	 2.997595e+05
1.843300e+02 	 2400000 	 2.998512e+05
1.843300e+02 	 2600000 	 2.999429e+05
1.843300e+02 	 2800000 	 3.000347e+05
1.843300e+02 	 3000000 	 3.001267e+05
1.843300e+02 	 3200000 	 3.002186e+05
1.843300e+02 	 3400000 	 3.003107e+05
1.843300e+02 	 3600000 	 3.004029e+05
1.843300e+02 	 3800000 	 3.004951e+05
1.843300e+02 	 4000000 	 3.005873e+05
1.843300e+02 	 4200000 	 3.006798e+05
1.843300e+02 	 4400000 	 3.007722e+05
1.843300e+02 	 4600000 	 3.008647e+05
1.843300e+02 	 4800000 	 3.009573e+05
1.843300e+02 	 5000000 	 3.010500e+05
1.843300e+02 	 5200000 	 3.011427e+05
1.843300e+02 	 5400000 	 3.012354e+05
1.843300e+02 	 5600000 	 3.013283e+05
1.843300e+02 	 5800000 	 3.014212e+05
1.843300e+02 	 6000000 	 3.015142e+05
1.843300e+02 	 6200000 	 3.016073e+05
1.843300e+02 	 6400000 	 3.017004e+05
1.843300e+02 	 6600000 	 3.017937e+05
1.843300e+02 	 6800000 	 3.018871e+05
1.843300e+02 	 7000000 	 3.019805e+05
1.843300e+02 	 7200000 	 3.020739e+05
1.843300e+02 	 7400000 	 3.021676e+05
1.843300e+02 	 7600000 	 3.022612e+05
1.843300e+02 	 7800000 	 3.023548e+05
1.843300e+02 	 8000000 	 3.024484e+05
1.843300e+02 	 8200000 	 3.025423e+05
1.843300e+02 	 8400000 	 3.026361e+05
1.843300e+02 	 8600000 	 3.027301e+05
1.843300e+02 	 8800000 	 3.028242e+05
1.843300e+02 	 9000000 	 3.029182e+05
1.843300e+02 	 9200000 	 3.030123e+05
1.843300e+02 	 9400000 	 3.031065e+05
1.843300e+02 	 9600000 	 3.032008e+05
1.843300e+02 	 9800000 	 3.032951e+05
1.843300e+02 	 10000000 	 3.033894e+05
1.853300e+02 	 1.053030e+05 	 3.005551e+05
1.853300e+02 	 200000 	 3.005979e+05
1.853300e+02 	 400000 	 3.006881e+05
1.853300e+02 	 600000 	 3.007784e+05
1.853300e+02 	 800000 	 3.008689e+05
1.853300e+02 	 1000000 	 3.009594e+05
1.853300e+02 	 1200000 	 3.010500e+05
1.853300e+02 	 1400000 	 3.011408e+05
1.853300e+02 	 1600000 	 3.012316e+05
1.853300e+02 	 1800000 	 3.013224e+05
1.853300e+02 	 2000000 	 3.014134e+05
1.853300e+02 	 2200000 	 3.015044e+05
1.853300e+02 	 2400000 	 3.015955e+05
1.853300e+02 	 2600000 	 3.016867e+05
1.853300e+02 	 2800000 	 3.017779e+05
1.853300e+02 	 3000000 	 3.018692e+05
1.853300e+02 	 3200000 	 3.019607e+05
1.853300e+02 	 3400000 	 3.020522e+05
1.853300e+02 	 3600000 	 3.021437e+05
1.853300e+02 	 3800000 	 3.022355e+05
1.853300e+02 	 4000000 	 3.023271e+05
1.853300e+02 	 4200000 	 3.024189e+05
1.853300e+02 	 4400000 	 3.025109e+05
1.853300e+02 	 4600000 	 3.026029e+05
1.853300e+02 	 4800000 	 3.026949e+05
1.853300e+02 	 5000000 	 3.027871e+05
1.853300e+02 	 5200000 	 3.028793e+05
1.853300e+02 	 5400000 	 3.029716e+05
1.853300e+02 	 5600000 	 3.030641e+05
1.853300e+02 	 5800000 	 3.031565e+05
1.853300e+02 	 6000000 	 3.032491e+05
1.853300e+02 	 6200000 	 3.033417e+05
1.853300e+02 	 6400000 	 3.034344e+05
1.853300e+02 	 6600000 	 3.035272e+05
1.853300e+02 	 6800000 	 3.036201e+05
1.853300e+02 	 7000000 	 3.037130e+05
1.853300e+02 	 7200000 	 3.038060e+05
1.853300e+02 	 7400000 	 3.038992e+05
1.853300e+02 	 7600000 	 3.039923e+05
1.853300e+02 	 7800000 	 3.040854e+05
1.853300e+02 	 8000000 	 3.041787e+05
1.853300e+02 	 8200000 	 3.042721e+05
1.853300e+02 	 8400000 	 3.043654e+05
1.853300e+02 	 8600000 	 3.044589e+05
1.853300e+02 	 8800000 	 3.045526e+05
1.853300e+02 	 9000000 	 3.046462e+05
1.853300e+02 	 9200000 	 3.047398e+05
1.853300e+02 	 9400000 	 3.048335e+05
1.853300e+02 	 9600000 	 3.049274e+05
1.853300e+02 	 9800000 	 3.050213e+05
1.853300e+02 	 10000000 	 3.051152e+05
1.863300e+02 	 1.117362e+05 	 3.023096e+05
1.863300e+02 	 200000 	 3.023491e+05
1.863300e+02 	 400000 	 3.024389e+05
1.863300e+02 	 600000 	 3.025286e+05
1.863300e+02 	 800000 	 3.026185e+05
1.863300e+02 	 1000000 	 3.027085e+05
1.863300e+02 	 1200000 	 3.027986e+05
1.863300e+02 	 1400000 	 3.028889e+05
1.863300e+02 	 1600000 	 3.029792e+05
1.863300e+02 	 1800000 	 3.030695e+05
1.863300e+02 	 2000000 	 3.031600e+05
1.863300e+02 	 2200000 	 3.032506e+05
1.863300e+02 	 2400000 	 3.033411e+05
1.863300e+02 	 2600000 	 3.034319e+05
1.863300e+02 	 2800000 	 3.035226e+05
1.863300e+02 	 3000000 	 3.036135e+05
1.863300e+02 	 3200000 	 3.037045e+05
1.863300e+02 	 3400000 	 3.037955e+05
1.863300e+02 	 3600000 	 3.038865e+05
1.863300e+02 	 3800000 	 3.039778e+05
1.863300e+02 	 4000000 	 3.040690e+05
1.863300e+02 	 4200000 	 3.041604e+05
1.863300e+02 	 4400000 	 3.042519e+05
1.863300e+02 	 4600000 	 3.043433e+05
1.863300e+02 	 4800000 	 3.044349e+05
1.863300e+02 	 5000000 	 3.045267e+05
1.863300e+02 	 5200000 	 3.046184e+05
1.863300e+02 	 5400000 	 3.047102e+05
1.863300e+02 	 5600000 	 3.048022e+05
1.863300e+02 	 5800000 	 3.048942e+05
1.863300e+02 	 6000000 	 3.049863e+05
1.863300e+02 	 6200000 	 3.050785e+05
1.863300e+02 	 6400000 	 3.051707e+05
1.863300e+02 	 6600000 	 3.052630e+05
1.863300e+02 	 6800000 	 3.053555e+05
1.863300e+02 	 7000000 	 3.054479e+05
1.863300e+02 	 7200000 	 3.055404e+05
1.863300e+02 	 7400000 	 3.056329e+05
1.863300e+02 	 7600000 	 3.057256e+05
1.863300e+02 	 7800000 	 3.058182e+05
1.863300e+02 	 8000000 	 3.059110e+05
1.863300e+02 	 8200000 	 3.060040e+05
1.863300e+02 	 8400000 	 3.060968e+05
1.863300e+02 	 8600000 	 3.061899e+05
1.863300e+02 	 8800000 	 3.062831e+05
1.863300e+02 	 9000000 	 3.063762e+05
1.863300e+02 	 9200000 	 3.064695e+05
1.863300e+02 	 9400000 	 3.065629e+05
1.863300e+02 	 9600000 	 3.066563e+05
1.863300e+02 	 9800000 	 3.067497e+05
1.863300e+02 	 10000000 	 3.068432e+05
1.873300e+02 	 1.184736e+05 	 3.040650e+05
1.873300e+02 	 200000 	 3.041012e+05
1.873300e+02 	 400000 	 3.041903e+05
1.873300e+02 	 600000 	 3.042796e+05
1.873300e+02 	 800000 	 3.043689e+05
1.873300e+02 	 1000000 	 3.044584e+05
1.873300e+02 	 1200000 	 3.045480e+05
1.873300e+02 	 1400000 	 3.046376e+05
1.873300e+02 	 1600000 	 3.047273e+05
1.873300e+02 	 1800000 	 3.048171e+05
1.873300e+02 	 2000000 	 3.049069e+05
1.873300e+02 	 2200000 	 3.049969e+05
1.873300e+02 	 2400000 	 3.050869e+05
1.873300e+02 	 2600000 	 3.051770e+05
1.873300e+02 	 2800000 	 3.052673e+05
1.873300e+02 	 3000000 	 3.053576e+05
1.873300e+02 	 3200000 	 3.054479e+05
1.873300e+02 	 3400000 	 3.055385e+05
1.873300e+02 	 3600000 	 3.056290e+05
1.873300e+02 	 3800000 	 3.057195e+05
1.873300e+02 	 4000000 	 3.058103e+05
1.873300e+02 	 4200000 	 3.059012e+05
1.873300e+02 	 4400000 	 3.059922e+05
1.873300e+02 	 4600000 	 3.060832e+05
1.873300e+02 	 4800000 	 3.061743e+05
1.873300e+02 	 5000000 	 3.062655e+05
1.873300e+02 	 5200000 	 3.063568e+05
1.873300e+02 	 5400000 	 3.064481e+05
1.873300e+02 	 5600000 	 3.065396e+05
1.873300e+02 	 5800000 	 3.066311e+05
1.873300e+02 	 6000000 	 3.067227e+05
1.873300e+02 	 6200000 	 3.068144e+05
