Table: Internal Energy [L]
Temperature {K} 	 Pressure {Pa} 	 Specific Internal Energy {J/Kg}
1.823300e+02 	 8.773300e+04 	 2.952264e+05
1.823300e+02 	 200000 	 2.951871e+05
1.823300e+02 	 400000 	 2.951174e+05
1.823300e+02 	 600000 	 2.950480e+05
1.823300e+02 	 800000 	 2.949784e+05
1.823300e+02 	 1000000 	 2.949097e+05
1.823300e+02 	 1200000 	 2.948405e+05
1.823300e+02 	 1400000 	 2.947714e+05
1.823300e+02 	 1600000 	 2.947023e+05
1.823300e+02 	 1800000 	 2.946346e+05
1.823300e+02 	 2000000 	 2.945658e+05
1.823300e+02 	 2200000 	 2.944971e+05
1.823300e+02 	 2400000 	 2.944286e+05
1.823300e+02 	 2600000 	 2.943617e+05
1.823300e+02 	 2800000 	 2.942933e+05
1.823300e+02 	 3000000 	 2.942249e+05
1.823300e+02 	 3200000 	 2.941588e+05
1.823300e+02 	 3400000 	 2.940907e+05
1.823300e+02 	 3600000 	 2.940227e+05
1.823300e+02 	 3800000 	 2.939549e+05
1.823300e+02 	 4000000 	 2.938896e+05
1.823300e+02 	 4200000 	 2.938220e+05
1.823300e+02 	 4400000 	 2.937545e+05
1.823300e+02 	 4600000 	 2.936871e+05
1.823300e+02 	 4800000 	 2.936228e+05
1.823300e+02 	 5000000 	 2.935557e+05
1.823300e+02 	 5200000 	 2.934885e+05
1.823300e+02 	 5400000 	 2.934215e+05
1.823300e+02 	 5600000 	 2.933583e+05
1.823300e+02 	 5800000 	 2.932915e+05
1.823300e+02 	 6000000 	 2.932247e+05
1.823300e+02 	 6200000 	 2.931581e+05
1.823300e+02 	 6400000 	 2.930957e+05
1.823300e+02 	 6600000 	 2.930293e+05
1.823300e+02 	 6800000 	 2.929630e+05
1.823300e+02 	 7000000 	 2.928968e+05
1.823300e+02 	 7200000 	 2.928353e+05
1.823300e+02 	 7400000 	 2.927692e+05
1.823300e+02 	 7600000 	 2.927032e+05
1.823300e+02 	 7800000 	 2.926375e+05
1.823300e+02 	 8000000 	 2.925768e+05
1.823300e+02 	 8200000 	 2.925112e+05
1.823300e+02 	 8400000 	 2.924457e+05
1.823300e+02 	 8600000 	 2.923803e+05
1.823300e+02 	 8800000 	 2.923204e+05
1.823300e+02 	 9000000 	 2.922552e+05
1.823300e+02 	 9200000 	 2.921901e+05
1.823300e+02 	 9400000 	 2.921250e+05
1.823300e+02 	 9600000 	 2.920661e+05
1.823300e+02 	 9800000 	 2.920013e+05
1.823300e+02 	 10000000 	 2.919366e+05
1.833300e+02 	 9.331079e+04 	 2.969734e+05
1.833300e+02 	 200000 	 2.969356e+05
1.833300e+02 	 400000 	 2.968650e+05
1.833300e+02 	 600000 	 2.967945e+05
1.833300e+02 	 800000 	 2.967241e+05
1.833300e+02 	 1000000 	 2.966543e+05
1.833300e+02 	 1200000 	 2.965842e+05
1.833300e+02 	 1400000 	 2.965141e+05
1.833300e+02 	 1600000 	 2.964443e+05
1.833300e+02 	 1800000 	 2.963754e+05
1.833300e+02 	 2000000 	 2.963056e+05
1.833300e+02 	 2200000 	 2.962360e+05
1.833300e+02 	 2400000 	 2.961684e+05
1.833300e+02 	 2600000 	 2.960986e+05
1.833300e+02 	 2800000 	 2.960294e+05
1.833300e+02 	 3000000 	 2.959603e+05
1.833300e+02 	 3200000 	 2.958932e+05
1.833300e+02 	 3400000 	 2.958243e+05
1.833300e+02 	 3600000 	 2.957556e+05
1.833300e+02 	 3800000 	 2.956868e+05
1.833300e+02 	 4000000 	 2.956208e+05
1.833300e+02 	 4200000 	 2.955524e+05
1.833300e+02 	 4400000 	 2.954840e+05
1.833300e+02 	 4600000 	 2.954163e+05
1.833300e+02 	 4800000 	 2.953507e+05
1.833300e+02 	 5000000 	 2.952826e+05
1.833300e+02 	 5200000 	 2.952147e+05
1.833300e+02 	 5400000 	 2.951476e+05
1.833300e+02 	 5600000 	 2.950827e+05
1.833300e+02 	 5800000 	 2.950150e+05
1.833300e+02 	 6000000 	 2.949474e+05
1.833300e+02 	 6200000 	 2.948809e+05
1.833300e+02 	 6400000 	 2.948167e+05
1.833300e+02 	 6600000 	 2.947495e+05
1.833300e+02 	 6800000 	 2.946825e+05
1.833300e+02 	 7000000 	 2.946208e+05
1.833300e+02 	 7200000 	 2.945530e+05
1.833300e+02 	 7400000 	 2.944864e+05
1.833300e+02 	 7600000 	 2.944197e+05
1.833300e+02 	 7800000 	 2.943589e+05
1.833300e+02 	 8000000 	 2.942914e+05
1.833300e+02 	 8200000 	 2.942251e+05
1.833300e+02 	 8400000 	 2.941587e+05
1.833300e+02 	 8600000 	 2.940991e+05
1.833300e+02 	 8800000 	 2.940320e+05
1.833300e+02 	 9000000 	 2.939660e+05
1.833300e+02 	 9200000 	 2.939000e+05
