Table: Isobaric coefficient of expansion [L]
Temperature {K} 	Pressure {kPa} 	Isobaric coefficient of expansion {1/K} 	Uncertainty {1/K} 
182.33	200	0.00237	0.00014
182.33	400	0.00236	0.00014
182.33	600	0.00236	0.00014
182.33	800	0.00236	0.00014
182.33	1000	0.00235	0.00014
182.33	1200	0.00235	0.00014
182.33	1400	0.00235	0.00014
182.33	1600	0.00234	0.00014
182.33	1800	0.00234	0.00014
182.33	2000	0.00234	0.00014
182.33	2200	0.00233	0.00014
182.33	2400	0.00233	0.00014
182.33	2600	0.00233	0.00014
182.33	2800	0.00233	0.00014
182.33	3000	0.00232	0.00014
182.33	3200	0.00232	0.00014
182.33	3400	0.00232	0.00014
182.33	3600	0.00231	0.00014
182.33	3800	0.00231	0.00014
182.33	4000	0.00231	0.00014
182.33	4200	0.00230	0.00014
182.33	4400	0.00230	0.00014
182.33	4600	0.00230	0.00014
182.33	4800	0.00229	0.00014
182.33	5000	0.00229	0.00014
182.33	5200	0.00229	0.00014
182.33	5400	0.00228	0.00014
182.33	5600	0.00228	0.00014
182.33	5800	0.00228	0.00014
182.33	6000	0.00228	0.00014
182.33	6200	0.00227	0.00014
182.33	6400	0.00227	0.00014
182.33	6600	0.00227	0.00014
182.33	6800	0.00226	0.00014
182.33	7000	0.00226	0.00014
182.33	7200	0.00226	0.00014
182.33	7400	0.00226	0.00014
182.33	7600	0.00225	0.00014
182.33	7800	0.00225	0.00014
182.33	8000	0.00225	0.00014
182.33	8200	0.00224	0.00014
182.33	8400	0.00224	0.00014
182.33	8600	0.00224	0.00014
182.33	8800	0.00224	0.00014
182.33	9000	0.00223	0.00014
182.33	9200	0.00223	0.00014
182.33	9400	0.00223	0.00014
182.33	9600	0.00222	0.00014
182.33	9800	0.00222	0.00014
182.33	10000	0.00222	0.00014
183	200	0.00238	0.00014
183	400	0.00237	0.00014
183	600	0.00237	0.00014
183	800	0.00237	0.00014
183	1000	0.00236	0.00014
183	1200	0.00236	0.00014
183	1400	0.00236	0.00014
183	1600	0.00235	0.00014
183	1800	0.00235	0.00014
183	2000	0.00235	0.00014
183	2200	0.00234	0.00014
183	2400	0.00234	0.00014
183	2600	0.00234	0.00014
183	2800	0.00233	0.00014
183	3000	0.00233	0.00014
183	3200	0.00233	0.00014
183	3400	0.00232	0.00014
183	3600	0.00232	0.00014
183	3800	0.00232	0.00014
183	4000	0.00231	0.00014
183	4200	0.00231	0.00014
183	4400	0.00231	0.00014
183	4600	0.00230	0.00014
183	4800	0.00230	0.00014
183	5000	0.00230	0.00014
183	5200	0.00229	0.00014
183	5400	0.00229	0.00014
183	5600	0.00229	0.00014
183	5800	0.00229	0.00014
183	6000	0.00228	0.00014
183	6200	0.00228	0.00014
183	6400	0.00228	0.00014
183	6600	0.00227	0.00014
183	6800	0.00227	0.00014
183	7000	0.00227	0.00014
183	7200	0.00226	0.00014
183	7400	0.00226	0.00014
183	7600	0.00226	0.00014
183	7800	0.00226	0.00014
183	8000	0.00225	0.00014
183	8200	0.00225	0.00014
183	8400	0.00225	0.00014
183	8600	0.00224	0.00014
183	8800	0.00224	0.00014
183	9000	0.00224	0.00014
183	9200	0.00224	0.00014
183	9400	0.00223	0.00014
183	9600	0.00223	0.00014
183	9800	0.00223	0.00014
183	10000	0.00222	0.00014
184	200	0.00239	0.00014
184	400	0.00238	0.00014
184	600	0.00238	0.00014
184	800	0.00238	0.00014
184	1000	0.00237	0.00014
184	1200	0.00237	0.00014
184	1400	0.00237	0.00014
184	1600	0.00236	0.00014
184	1800	0.00236	0.00014
184	2000	0.00236	0.00014
184	2200	0.00235	0.00014
184	2400	0.00235	0.00014
184	2600	0.00235	0.00014
184	2800	0.00234	0.00014
184	3000	0.00234	0.00014
184	3200	0.00234	0.00014
184	3400	0.00233	0.00014
184	3600	0.00233	0.00014
184	3800	0.00233	0.00014
184	4000	0.00232	0.00014
184	4200	0.00232	0.00014
184	4400	0.00232	0.00014
184	4600	0.00231	0.00014
184	4800	0.00231	0.00014
184	5000	0.00231	0.00014
184	5200	0.00231	0.00014
184	5400	0.00230	0.00014
184	5600	0.00230	0.00014
184	5800	0.00230	0.00014
184	6000	0.00229	0.00014
184	6200	0.00229	0.00014
184	6400	0.00229	0.00014
184	6600	0.00228	0.00014
184	6800	0.00228	0.00014
184	7000	0.00228	0.00014
184	7200	0.00227	0.00014
184	7400	0.00227	0.00014
184	7600	0.00227	0.00014
184	7800	0.00227	0.00014
184	8000	0.00226	0.00014
184	8200	0.00226	0.00014
184	8400	0.00226	0.00014
184	8600	0.00225	0.00014
184	8800	0.00225	0.00014
184	9000	0.00225	0.00014
184	9200	0.00225	0.00014
184	9400	0.00224	0.00014
184	9600	0.00224	0.00014
184	9800	0.00224	0.00014
184	10000	0.00223	0.00014
185	200	0.00240	0.00014
185	400	0.00240	0.00014
185	600	0.00239	0.00014
185	800	0.00239	0.00014
185	1000	0.00239	0.00014
185	1200	0.00238	0.00014
185	1400	0.00238	0.00014
185	1600	0.00238	0.00014
185	1800	0.00237	0.00014
185	2000	0.00237	0.00014
185	2200	0.00237	0.00014
185	2400	0.00236	0.00014
185	2600	0.00236	0.00014
185	2800	0.00236	0.00014
185	3000	0.00235	0.00014
185	3200	0.00235	0.00014
185	3400	0.00235	0.00014
185	3600	0.00234	0.00014
185	3800	0.00234	0.00014
185	4000	0.00234	0.00014
185	4200	0.00233	0.00014
185	4400	0.00233	0.00014
185	4600	0.00233	0.00014
185	4800	0.00232	0.00014
185	5000	0.00232	0.00014
185	5200	0.00232	0.00014
185	5400	0.00231	0.00014
185	5600	0.00231	0.00014
185	5800	0.00231	0.00014
185	6000	0.00230	0.00014
185	6200	0.00230	0.00014
185	6400	0.00230	0.00014
185	6600	0.00229	0.00014
185	6800	0.00229	0.00014
185	7000	0.00229	0.00014
185	7200	0.00228	0.00014
185	7400	0.00228	0.00014
185	7600	0.00228	0.00014
185	7800	0.00228	0.00014
185	8000	0.00227	0.00014
185	8200	0.00227	0.00014
185	8400	0.00227	0.00014
185	8600	0.00226	0.00014
185	8800	0.00226	0.00014
185	9000	0.00226	0.00014
185	9200	0.00226	0.00014
185	9400	0.00225	0.00014
185	9600	0.00225	0.00014
185	9800	0.00225	0.00014
185	10000	0.00224	0.00014
