Table: Isothermal compressibility [L]
Temperature {K} 	Pressure {kPa} 	Isothermal compressibility {1/kPa} 	Uncertainty {1/kPa} 
182.33	200	1.09e-6	1.6e-7
182.33	400	1.09e-6	1.6e-7
182.33	600	1.09e-6	1.6e-7
182.33	800	1.08e-6	1.6e-7
182.33	1000	1.08e-6	1.5e-7
182.33	1200	1.08e-6	1.5e-7
182.33	1400	1.08e-6	1.5e-7
182.33	1600	1.07e-6	1.5e-7
182.33	1800	1.07e-6	1.5e-7
182.33	2000	1.07e-6	1.5e-7
182.33	2200	1.07e-6	1.5e-7
182.33	2400	1.07e-6	1.5e-7
182.33	2600	1.06e-6	1.5e-7
182.33	2800	1.06e-6	1.5e-7
182.33	3000	1.06e-6	1.5e-7
182.33	3200	1.06e-6	1.5e-7
182.33	3400	1.05e-6	1.5e-7
182.33	3600	1.05e-6	1.5e-7
182.33	3800	1.05e-6	1.5e-7
182.33	4000	1.05e-6	1.5e-7
182.33	4200	1.05e-6	1.5e-7
182.33	4400	1.04e-6	1.5e-7
182.33	4600	1.04e-6	1.5e-7
182.33	4800	1.04e-6	1.5e-7
182.33	5000	1.04e-6	1.5e-7
182.33	5200	1.03e-6	1.5e-7
182.33	5400	1.03e-6	1.5e-7
182.33	5600	1.03e-6	1.5e-7
182.33	5800	1.03e-6	1.5e-7
182.33	6000	1.03e-6	1.4e-7
182.33	6200	1.02e-6	1.4e-7
182.33	6400	1.02e-6	1.4e-7
182.33	6600	1.02e-6	1.4e-7
182.33	6800	1.02e-6	1.4e-7
182.33	7000	1.02e-6	1.4e-7
182.33	7200	1.01e-6	1.4e-7
182.33	7400	1.01e-6	1.4e-7
182.33	7600	1.01e-6	1.4e-7
182.33	7800	1.01e-6	1.4e-7
182.33	8000	1.00e-6	1.4e-7
182.33	8200	1.00e-6	1.4e-7
182.33	8400	1.00e-6	1.4e-7
182.33	8600	1.00e-6	1.4e-7
182.33	8800	1.00e-6	1.4e-7
182.33	9000	9.9e-7	1.4e-7
182.33	9200	9.9e-7	1.4e-7
182.33	9400	9.9e-7	1.4e-7
182.33	9600	9.9e-7	1.4e-7
182.33	9800	9.9e-7	1.4e-7
182.33	10000	9.9e-7	1.4e-7
183	200	1.10e-6	1.6e-7
183	400	1.10e-6	1.6e-7
183	600	1.10e-6	1.6e-7
183	800	1.10e-6	1.6e-7
183	1000	1.09e-6	1.6e-7
183	1200	1.09e-6	1.6e-7
183	1400	1.09e-6	1.5e-7
183	1600	1.09e-6	1.5e-7
183	1800	1.08e-6	1.5e-7
183	2000	1.08e-6	1.5e-7
183	2200	1.08e-6	1.5e-7
183	2400	1.08e-6	1.5e-7
183	2600	1.07e-6	1.5e-7
183	2800	1.07e-6	1.5e-7
183	3000	1.07e-6	1.5e-7
183	3200	1.07e-6	1.5e-7
183	3400	1.06e-6	1.5e-7
183	3600	1.06e-6	1.5e-7
183	3800	1.06e-6	1.5e-7
183	4000	1.06e-6	1.5e-7
183	4200	1.06e-6	1.5e-7
183	4400	1.05e-6	1.5e-7
183	4600	1.05e-6	1.5e-7
183	4800	1.05e-6	1.5e-7
183	5000	1.05e-6	1.5e-7
183	5200	1.04e-6	1.5e-7
183	5400	1.04e-6	1.5e-7
183	5600	1.04e-6	1.5e-7
183	5800	1.04e-6	1.5e-7
183	6000	1.04e-6	1.5e-7
183	6200	1.03e-6	1.5e-7
183	6400	1.03e-6	1.5e-7
183	6600	1.03e-6	1.4e-7
183	6800	1.03e-6	1.4e-7
183	7000	1.03e-6	1.4e-7
183	7200	1.02e-6	1.4e-7
183	7400	1.02e-6	1.4e-7
183	7600	1.02e-6	1.4e-7
183	7800	1.02e-6	1.4e-7
183	8000	1.01e-6	1.4e-7
183	8200	1.01e-6	1.4e-7
183	8400	1.01e-6	1.4e-7
183	8600	1.01e-6	1.4e-7
