Table: Enthalpy [L, G] Liquid in equilibrium with gas
Temperature {K} 	Enthalpy {kJ/mol} 	Uncertainty {kJ/mol} 
182.419	12.92	0
183	12.95970	0.00029
184	13.03670	0.00075
185	13.1138	0.0013
186	13.1911	0.0020
187	13.2687	0.0030
188	13.3464	0.0042
189	13.4243	0.0057
190	13.5024	0.0075
191	13.5807	0.0096
192	13.659	0.012
193	13.738	0.015
194	13.817	0.017
195	13.895	0.021
196	13.975	0.024
197	14.054	0.028
198	14.133	0.032
199	14.213	0.036
200	14.292	0.040
201	14.372	0.045
202	14.452	0.050
203	14.532	0.055
204	14.612	0.060
205	14.693	0.066
206	14.773	0.071
207	14.854	0.077
208	14.934	0.083
209	15.015	0.090
210	15.096	0.096
211	15.18	0.10
212	15.26	0.11
213	15.34	0.12
214	15.42	0.12
215	15.50	0.13
216	15.58	0.14
217	15.66	0.15
218	15.75	0.15
219	15.83	0.16
220	15.91	0.17
221	15.99	0.18
222	16.07	0.19
223	16.16	0.20
224	16.24	0.20
225	16.32	0.21
226	16.40	0.22
227	16.49	0.23
228	16.57	0.24
229	16.65	0.25
230	16.73	0.26
231	16.82	0.27
232	16.90	0.28
233	16.98	0.29
234	17.07	0.30
235	17.15	0.30
236	17.23	0.31
237	17.31	0.32
238	17.40	0.33
239	17.48	0.34
240	17.57	0.35
241	17.65	0.36
242	17.73	0.37
243	17.82	0.38
244	17.90	0.39
245	17.99	0.40
246	18.07	0.41
247	18.15	0.41
248	18.24	0.42
249	18.32	0.43
250	18.41	0.44
251	18.50	0.45
252	18.58	0.46
253	18.67	0.47
254	18.75	0.48
255	18.84	0.49
256	18.93	0.50
257	19.01	0.51
258	19.10	0.52
259	19.19	0.53
260	19.27	0.55
261	19.36	0.56
262	19.45	0.57
263	19.54	0.59
264	19.63	0.61
265	19.72	0.62
266	19.81	0.64
267	19.90	0.67
268	19.99	0.69
269	20.09	0.72
270	20.18	0.74
271	20.27	0.78
272	20.37	0.81
273	20.47	0.85
274	20.56	0.89
275	20.66	0.94
276	20.76	0.99
277	20.9	1.0
278	21.0	1.1
279	21.1	1.2
280	21.2	1.2
281	21.3	1.3
282	21.4	1.4
283	21.5	1.5
284	21.6	1.6
285	21.7	1.7
286	21.8	1.8
287	22.0	1.9
288	22.1	2.0
289	22.2	2.2
290	22.3	2.3
291	22.5	2.5
292	22.6	2.6
293	22.8	2.8
294	22.9	3.0
295	23.1	3.2
296	23.3	3.4
297	23.4	3.7
298	23.6	3.9
299	23.8	4.2
300	24.1	4.4
