Table: Thermal conductivity [L]
Temperature {K} 	Pressure {kPa} 	Thermal conductivity {W/m/K} 	Uncertainty {W/m/K} 
182.33	200	0.2035	0.0028
183	200	0.2028	0.0028
183	400	0.2029	0.0028
183	600	0.2030	0.0028
183	800	0.2031	0.0028
183	1000	0.2032	0.0028
183	1200	0.2033	0.0028
183	1400	0.2034	0.0028
183	1600	0.2035	0.0028
184	200	0.2017	0.0027
184	400	0.2018	0.0027
184	600	0.2019	0.0027
184	800	0.2020	0.0027
184	1000	0.2021	0.0027
184	1200	0.2022	0.0027
184	1400	0.2023	0.0027
184	1600	0.2024	0.0027
184	1800	0.2025	0.0027
184	2000	0.2026	0.0027
184	2200	0.2027	0.0027
184	2400	0.2028	0.0027
184	2600	0.2029	0.0027
184	2800	0.2030	0.0027
184	3000	0.2031	0.0027
184	3200	0.2032	0.0027
184	3400	0.2033	0.0027
184	3600	0.2034	0.0027
184	3800	0.2035	0.0027
185	200	0.2005	0.0027
185	400	0.2007	0.0027
185	600	0.2008	0.0027
185	800	0.2009	0.0027
185	1000	0.2010	0.0027
185	1200	0.2011	0.0027
185	1400	0.2012	0.0027
185	1600	0.2013	0.0027
185	1800	0.2014	0.0027
185	2000	0.2015	0.0027
185	2200	0.2016	0.0027
185	2400	0.2017	0.0027
185	2600	0.2018	0.0027
185	2800	0.2019	0.0027
185	3000	0.2020	0.0027
185	3200	0.2021	0.0027
185	3400	0.2022	0.0027
185	3600	0.2023	0.0027
185	3800	0.2024	0.0027
185	4000	0.2025	0.0027
185	4200	0.2026	0.0027
185	4400	0.2027	0.0027
185	4600	0.2028	0.0027
185	4800	0.2029	0.0027
185	5000	0.2030	0.0027
185	5200	0.2031	0.0027
185	5400	0.2032	0.0027
185	5600	0.2033	0.0027
185	5800	0.2034	0.0027
185	6000	0.2035	0.0026
186	200	0.1994	0.0027
186	400	0.1995	0.0027
186	600	0.1996	0.0027
186	800	0.1998	0.0027
186	1000	0.1999	0.0027
186	1200	0.2000	0.0027
186	1400	0.2001	0.0027
186	1600	0.2002	0.0026
186	1800	0.2003	0.0026
186	2000	0.2004	0.0026
186	2200	0.2005	0.0026
186	2400	0.2006	0.0026
186	2600	0.2007	0.0026
186	2800	0.2008	0.0026
186	3000	0.2009	0.0026
186	3200	0.2010	0.0026
186	3400	0.2011	0.0026
186	3600	0.2012	0.0026
186	3800	0.2013	0.0026
186	4000	0.2014	0.0026
186	4200	0.2015	0.0026
186	4400	0.2016	0.0026
186	4600	0.2017	0.0026
186	4800	0.2018	0.0026
186	5000	0.2019	0.0026
186	5200	0.2020	0.0026
186	5400	0.2021	0.0026
186	5600	0.2022	0.0026
186	5800	0.2023	0.0026
186	6000	0.2024	0.0026
186	6200	0.2025	0.0026
186	6400	0.2026	0.0026
186	6600	0.2027	0.0026
186	6800	0.2028	0.0026
186	7000	0.2029	0.0026
186	7200	0.2030	0.0026
186	7400	0.2031	0.0026
186	7600	0.2032	0.0026
186	7800	0.2033	0.0026
186	8000	0.2034	0.0026
187	200	0.1983	0.0026
187	400	0.1984	0.0026
187	600	0.1985	0.0026
187	800	0.1986	0.0026
187	1000	0.1987	0.0026
187	1200	0.1989	0.0026
187	1400	0.1990	0.0026
187	1600	0.1991	0.0026
187	1800	0.1992	0.0026
187	2000	0.1993	0.0026
187	2200	0.1994	0.0026
187	2400	0.1995	0.0026
187	2600	0.1996	0.0026
187	2800	0.1997	0.0026
187	3000	0.1998	0.0026
187	3200	0.1999	0.0026
187	3400	0.2000	0.0026
187	3600	0.2001	0.0026
187	3800	0.2002	0.0026
187	4000	0.2003	0.0026
187	4200	0.2004	0.0026
187	4400	0.2005	0.0026
187	4600	0.2006	0.0026
187	4800	0.2007	0.0026
187	5000	0.2008	0.0026
187	5200	0.2009	0.0026
187	5400	0.2010	0.0026
187	5600	0.2011	0.0026
187	5800	0.2012	0.0026
187	6000	0.2013	0.0026
187	6200	0.2014	0.0026
187	6400	0.2015	0.0026
187	6600	0.2016	0.0026
187	6800	0.2017	0.0026
187	7000	0.2018	0.0026
187	7200	0.2019	0.0026
187	7400	0.2020	0.0026
187	7600	0.2021	0.0026
187	7800	0.2022	0.0026
187	8000	0.2023	0.0026
188	200	0.1972	0.0026
188	400	0.1973	0.0026
188	600	0.1974	0.0026
188	800	0.1975	0.0026
188	1000	0.1976	0.0026
188	1200	0.1977	0.0026
188	1400	0.1979	0.0026
188	1600	0.1980	0.0026
188	1800	0.1981	0.0026
188	2000	0.1982	0.0026
188	2200	0.1983	0.0026
188	2400	0.1984	0.0026
188	2600	0.1985	0.0026
188	2800	0.1986	0.0026
188	3000	0.1987	0.0026
188	3200	0.1988	0.0026
188	3400	0.1989	0.0026
188	3600	0.1990	0.0026
188	3800	0.1991	0.0026
188	4000	0.1992	0.0026
188	4200	0.1993	0.0026
188	4400	0.1994	0.0026
