Table: Thermal pressure coefficient [L]
Temperature {K} 	Pressure {kPa} 	Thermal pressure coefficient {kPa/K} 	Uncertainty {kPa/K} 
182.33	200	2170	360
182.33	400	2170	360
182.33	600	2170	360
182.33	800	2170	360
182.33	1000	2180	360
182.33	1200	2180	360
182.33	1400	2180	360
182.33	1600	2180	360
182.33	1800	2180	370
182.33	2000	2180	370
182.33	2200	2190	370
182.33	2400	2190	370
182.33	2600	2190	370
182.33	2800	2190	370
182.33	3000	2190	370
182.33	3200	2190	370
182.33	3400	2200	370
182.33	3600	2200	370
182.33	3800	2200	370
182.33	4000	2200	370
182.33	4200	2200	370
182.33	4400	2210	370
182.33	4600	2210	370
182.33	4800	2210	370
182.33	5000	2210	370
182.33	5200	2210	370
182.33	5400	2210	370
182.33	5600	2220	370
182.33	5800	2220	370
182.33	6000	2220	370
182.33	6200	2220	370
182.33	6400	2220	370
182.33	6600	2220	370
182.33	6800	2230	370
182.33	7000	2230	370
182.33	7200	2230	380
182.33	7400	2230	380
182.33	7600	2230	380
182.33	7800	2230	380
182.33	8000	2240	380
182.33	8200	2240	380
182.33	8400	2240	380
182.33	8600	2240	380
182.33	8800	2240	380
182.33	9000	2240	380
182.33	9200	2250	380
182.33	9400	2250	380
182.33	9600	2250	380
182.33	9800	2250	380
182.33	10000	2250	380
183	200	2150	360
183	400	2160	360
183	600	2160	360
183	800	2160	360
183	1000	2160	360
183	1200	2160	360
183	1400	2160	360
183	1600	2170	360
183	1800	2170	360
183	2000	2170	360
183	2200	2170	360
183	2400	2170	360
183	2600	2170	360
183	2800	2180	360
183	3000	2180	360
183	3200	2180	360
183	3400	2180	360
183	3600	2180	360
183	3800	2190	360
183	4000	2190	370
183	4200	2190	370
183	4400	2190	370
183	4600	2190	370
183	4800	2190	370
183	5000	2200	370
183	5200	2200	370
183	5400	2200	370
183	5600	2200	370
183	5800	2200	370
183	6000	2200	370
183	6200	2210	370
183	6400	2210	370
183	6600	2210	370
183	6800	2210	370
183	7000	2210	370
183	7200	2210	370
183	7400	2220	370
183	7600	2220	370
183	7800	2220	370
183	8000	2220	370
183	8200	2220	370
183	8400	2220	370
183	8600	2230	370
183	8800	2230	370
183	9000	2230	370
183	9200	2230	370
183	9400	2230	380
183	9600	2230	380
183	9800	2240	380
183	10000	2240	380
184	200	2130	350
184	400	2130	350
184	600	2130	350
184	800	2140	350
184	1000	2140	350
184	1200	2140	350
184	1400	2140	350
184	1600	2140	350
184	1800	2150	350
184	2000	2150	360
184	2200	2150	360
184	2400	2150	360
184	2600	2150	360
184	2800	2150	360
184	3000	2160	360
184	3200	2160	360
184	3400	2160	360
184	3600	2160	360
184	3800	2160	360
184	4000	2160	360
184	4200	2170	360
184	4400	2170	360
184	4600	2170	360
184	4800	2170	360
184	5000	2170	360
184	5200	2180	360
184	5400	2180	360
184	5600	2180	360
184	5800	2180	360
184	6000	2180	360
184	6200	2180	360
184	6400	2190	360
184	6600	2190	360
184	6800	2190	360
184	7000	2190	360
184	7200	2190	370
184	7400	2190	370
184	7600	2200	370
184	7800	2200	370
184	8000	2200	370
184	8200	2200	370
184	8400	2200	370
184	8600	2200	370
184	8800	2210	370
184	9000	2210	370
184	9200	2210	370
184	9400	2210	370
184	9600	2210	370
184	9800	2210	370
184	10000	2220	370
185	200	2110	350
185	400	2110	350
185	600	2110	350
185	800	2110	350
185	1000	2120	350
185	1200	2120	350
185	1400	2120	350
185	1600	2120	350
185	1800	2120	350
185	2000	2130	350
185	2200	2130	350
185	2400	2130	350
185	2600	2130	350
185	2800	2130	350
185	3000	2130	350
185	3200	2140	350
185	3400	2140	350
185	3600	2140	350
185	3800	2140	350
185	4000	2140	350
185	4200	2140	350
185	4400	2150	350
185	4600	2150	350
185	4800	2150	350
185	5000	2150	350
185	5200	2150	360
185	5400	2150	360
185	5600	2160	360
185	5800	2160	360
185	6000	2160	360
185	6200	2160	360
185	6400	2160	360
185	6600	2170	360
185	6800	2170	360
185	7000	2170	360
185	7200	2170	360
185	7400	2170	360
185	7600	2170	360
185	7800	2180	360
185	8000	2180	360
185	8200	2180	360
185	8400	2180	360
185	8600	2180	360
185	8800	2180	360
185	9000	2190	360
185	9200	2190	360
185	9400	2190	360
185	9600	2190	360
185	9800	2190	360
185	10000	2190	360
186	200	2090	340
186	400	2090	340
186	600	2090	340
186	800	2090	340
186	1000	2090	340
186	1200	2100	340
186	1400	2100	340
186	1600	2100	340
186	1800	2100	340
186	2000	2100	340
186	2200	2110	340
186	2400	2110	340
186	2600	2110	340
186	2800	2110	340
186	3000	2110	340
186	3200	2110	350
186	3400	2120	350
186	3600	2120	350
186	3800	2120	350
186	4000	2120	350
186	4200	2120	350
186	4400	2120	350
186	4600	2130	350
186	4800	2130	350
186	5000	2130	350
186	5200	2130	350
186	5400	2130	350
186	5600	2130	350
186	5800	2140	350
186	6000	2140	350
186	6200	2140	350
186	6400	2140	350
186	6600	2140	350
186	6800	2150	350
186	7000	2150	350
186	7200	2150	350
186	7400	2150	350
186	7600	2150	350
186	7800	2150	350
186	8000	2160	350
186	8200	2160	350
186	8400	2160	360
186	8600	2160	360
186	8800	2160	360
186	9000	2160	360
186	9200	2170	360
186	9400	2170	360
186	9600	2170	360
186	9800	2170	360
186	10000	2170	360
187	200	2070	330
187	400	2070	330
187	600	2070	330
187	800	2070	330
187	1000	2070	340
187	1200	2070	340
187	1400	2080	340
187	1600	2080	340
187	1800	2080	340
187	2000	2080	340
187	2200	2080	340
187	2400	2090	340
187	2600	2090	340
187	2800	2090	340
187	3000	2090	340
187	3200	2090	340
187	3400	2090	340
187	3600	2100	340
187	3800	2100	340
187	4000	2100	340
187	4200	2100	340
187	4400	2100	340
187	4600	2100	340
187	4800	2110	340
187	5000	2110	340
187	5200	2110	340
187	5400	2110	340
187	5600	2110	340
187	5800	2120	340
187	6000	2120	340
187	6200	2120	350
187	6400	2120	350
187	6600	2120	350
187	6800	2120	350
187	7000	2130	350
187	7200	2130	350
187	7400	2130	350
187	7600	2130	350
187	7800	2130	350
187	8000	2130	350
187	8200	2140	350
187	8400	2140	350
187	8600	2140	350
187	8800	2140	350
187	9000	2140	350
187	9200	2140	350
187	9400	2150	350
187	9600	2150	350
187	9800	2150	350
187	10000	2150	350
188	200	2040	330
188	400	2050	330
188	600	2050	330
188	800	2050	330
188	1000	2050	330
188	1200	2050	330
188	1400	2060	330
188	1600	2060	330
188	1800	2060	330
188	2000	2060	330
188	2200	2060	330
188	2400	2060	330
188	2600	2070	330
188	2800	2070	330
188	3000	2070	330
188	3200	2070	330
188	3400	2070	330
188	3600	2070	330
188	3800	2080	330
188	4000	2080	340
188	4200	2080	340
188	4400	2080	340
188	4600	2080	340
188	4800	2090	340
188	5000	2090	340
188	5200	2090	340
188	5400	2090	340
188	5600	2090	340
188	5800	2090	340
188	6000	2100	340
188	6200	2100	340
188	6400	2100	340
188	6600	2100	340
188	6800	2100	340
188	7000	2100	340
188	7200	2110	340
188	7400	2110	340
188	7600	2110	340
188	7800	2110	340
188	8000	2110	340
188	8200	2110	340
188	8400	2120	340
188	8600	2120	340
188	8800	2120	340
188	9000	2120	340
188	9200	2120	340
188	9400	2120	350
188	9600	2130	350
188	9800	2130	350
188	10000	2130	350
189	200	2020	320
189	400	2030	320
189	600	2030	320
189	800	2030	320
189	1000	2030	320
189	1200	2030	320
189	1400	2030	320
189	1600	2040	320
189	1800	2040	330
189	2000	2040	330
189	2200	2040	330
189	2400	2040	330
189	2600	2040	330
189	2800	2050	330
189	3000	2050	330
189	3200	2050	330
189	3400	2050	330
189	3600	2050	330
189	3800	2060	330
189	4000	2060	330
189	4200	2060	330
189	4400	2060	330
189	4600	2060	330
189	4800	2060	330
189	5000	2070	330
189	5200	2070	330
189	5400	2070	330
189	5600	2070	330
189	5800	2070	330
189	6000	2070	330
189	6200	2080	330
189	6400	2080	330
189	6600	2080	330
189	6800	2080	330
189	7000	2080	340
189	7200	2090	340
189	7400	2090	340
189	7600	2090	340
189	7800	2090	340
189	8000	2090	340
189	8200	2090	340
189	8400	2100	340
189	8600	2100	340
189	8800	2100	340
189	9000	2100	340
189	9200	2100	340
189	9400	2100	340
189	9600	2110	340
189	9800	2110	340
189	10000	2110	340
190	200	2000	320
190	400	2000	320
190	600	2010	320
190	800	2010	320
190	1000	2010	320
190	1200	2010	320
190	1400	2010	320
190	1600	2010	320
