Table: Thermal conductivity [L, G]
Temperature {K} 	Thermal conductivity {W/m/K} 	Uncertainty {W/m/K} 
182.33	0.2035	0.0028
183	0.2027	0.0028
184	0.2016	0.0027
185	0.2005	0.0027
186	0.1994	0.0027
187	0.1983	0.0026
188	0.1972	0.0026
189	0.1961	0.0026
190	0.1950	0.0025
191	0.1939	0.0025
192	0.1928	0.0025
193	0.1917	0.0024
194	0.1906	0.0024
195	0.1895	0.0024
196	0.1884	0.0023
197	0.1873	0.0023
198	0.1862	0.0023
199	0.1851	0.0022
200	0.1840	0.0022
201	0.1829	0.0022
202	0.1818	0.0021
203	0.1807	0.0021
204	0.1796	0.0021
205	0.1786	0.0020
206	0.1775	0.0020
207	0.1764	0.0020
208	0.1753	0.0019
209	0.1742	0.0019
210	0.1731	0.0019
211	0.1720	0.0019
212	0.1710	0.0018
213	0.1699	0.0018
214	0.1688	0.0018
215	0.1677	0.0017
216	0.1666	0.0017
217	0.1656	0.0017
218	0.1645	0.0017
219	0.1634	0.0016
220	0.1623	0.0016
221	0.1613	0.0016
222	0.1602	0.0016
223	0.1591	0.0015
224	0.1580	0.0015
225	0.1570	0.0015
226	0.1559	0.0014
227	0.1548	0.0014
228	0.1538	0.0014
229	0.1527	0.0014
230	0.1516	0.0014
231	0.1505	0.0013
232	0.1495	0.0013
233	0.1484	0.0013
234	0.1473	0.0013
235	0.1463	0.0012
236	0.1452	0.0012
237	0.1441	0.0012
238	0.1431	0.0012
239	0.1420	0.0012
240	0.1409	0.0011
241	0.1399	0.0011
242	0.1388	0.0011
243	0.1377	0.0011
244	0.1367	0.0011
245	0.1356	0.0010
246	0.1345	0.0010
247	0.1335	0.0010
248	0.13242	0.00099
249	0.13135	0.00097
250	0.13029	0.00096
251	0.12923	0.00094
252	0.12817	0.00093
253	0.12710	0.00091
254	0.12604	0.00090
255	0.12498	0.00088
256	0.12392	0.00087
257	0.12286	0.00085
258	0.12180	0.00084
259	0.12074	0.00083
260	0.11968	0.00081
261	0.11862	0.00080
262	0.11756	0.00079
263	0.11651	0.00078
264	0.11545	0.00077
265	0.11439	0.00075
266	0.11333	0.00074
267	0.11228	0.00073
268	0.11122	0.00072
269	0.11016	0.00071
270	0.10911	0.00070
271	0.10805	0.00069
272	0.10700	0.00068
273	0.10594	0.00068
274	0.10489	0.00067
275	0.10384	0.00066
276	0.10279	0.00065
277	0.10173	0.00064
278	0.10068	0.00064
279	0.09963	0.00063
280	0.09858	0.00063
281	0.09753	0.00062
282	0.09649	0.00061
283	0.09544	0.00061
284	0.09440	0.00060
285	0.09335	0.00060
286	0.09231	0.00060
287	0.09127	0.00059
288	0.09023	0.00059
289	0.08920	0.00059
290	0.08817	0.00059
291	0.08714	0.00059
292	0.08612	0.00059
293	0.08510	0.00059
294	0.08410	0.00059
295	0.08310	0.00059
296	0.08211	0.00059
297	0.08115	0.00060
298	0.08020	0.00060
299	0.07929	0.00059
300	0.07843	0.00059
301	0.07762	0.00059
302	0.07691	0.00058
303	0.07634	0.00056
304	0.07598	0.00056
305	0.07595	0.00057
306	0.07648	0.00065
307	0.07806	0.00096
308	0.0821	0.0022
309	0.099	0.017
309.4	0.100	0.015
