Table: Internal Energy [Saturated Tank]
Temperature {K} 	 Total Nitrous Mass Per Nitrous Tank Vol {Kg/m^3} 	 Specific Internal Energy (Per Kg Total Nitrous) {J/Kg}
240 	 3.395586e+01 	 6.353022e+05
240 	 3.961517e+01 	 6.002644e+05
240 	 4.527448e+01 	 5.739860e+05
240 	 5.093379e+01 	 5.535472e+05
240 	 5.659310e+01 	 5.371962e+05
240 	 6.225241e+01 	 5.238181e+05
240 	 6.791171e+01 	 5.126697e+05
240 	 7.357102e+01 	 5.032365e+05
240 	 7.923033e+01 	 4.951508e+05
240 	 8.488964e+01 	 4.881432e+05
240 	 9.054895e+01 	 4.820116e+05
240 	 9.620826e+01 	 4.766013e+05
240 	 1.018676e+02 	 4.717922e+05
240 	 1.075269e+02 	 4.674893e+05
240 	 1.131862e+02 	 4.636167e+05
240 	 1.188455e+02 	 4.601129e+05
240 	 1.245048e+02 	 4.569277e+05
240 	 1.301641e+02 	 4.540194e+05
240 	 1.358234e+02 	 4.513535e+05
240 	 1.414827e+02 	 4.489008e+05
240 	 1.471420e+02 	 4.466368e+05
240 	 1.528014e+02 	 4.445406e+05
240 	 1.584607e+02 	 4.425940e+05
240 	 1.641200e+02 	 4.407817e+05
240 	 1.697793e+02 	 4.390902e+05
240 	 1.754386e+02 	 4.375079e+05
240 	 1.810979e+02 	 4.360244e+05
240 	 1.867572e+02 	 4.346309e+05
240 	 1.924165e+02 	 4.333193e+05
240 	 1.980758e+02 	 4.320827e+05
240 	 2.037351e+02 	 4.309147e+05
240 	 2.093945e+02 	 4.298099e+05
240 	 2.150538e+02 	 4.287633e+05
240 	 2.207131e+02 	 4.277703e+05
240 	 2.263724e+02 	 4.268270e+05
240 	 2.320317e+02 	 4.259297e+05
240 	 2.376910e+02 	 4.250751e+05
240 	 2.433503e+02 	 4.242603e+05
240 	 2.490096e+02 	 4.234825e+05
240 	 2.546689e+02 	 4.227392e+05
240 	 2.603282e+02 	 4.220283e+05
240 	 2.659875e+02 	 4.213477e+05
240 	 2.716469e+02 	 4.206954e+05
240 	 2.773062e+02 	 4.200697e+05
240 	 2.829655e+02 	 4.194690e+05
240 	 2.886248e+02 	 4.188919e+05
240 	 2.942841e+02 	 4.183370e+05
240 	 2.999434e+02 	 4.178031e+05
240 	 3.056027e+02 	 4.172889e+05
240 	 3.112620e+02 	 4.167934e+05
240 	 3.169213e+02 	 4.163156e+05
240 	 3.225806e+02 	 4.158546e+05
240 	 3.282400e+02 	 4.154095e+05
240 	 3.338993e+02 	 4.149794e+05
240 	 3.395586e+02 	 4.145637e+05
240 	 3.452179e+02 	 4.141617e+05
240 	 3.508772e+02 	 4.137726e+05
240 	 3.565365e+02 	 4.133958e+05
240 	 3.621958e+02 	 4.130308e+05
240 	 3.678551e+02 	 4.126771e+05
240 	 3.735144e+02 	 4.123340e+05
240 	 3.791737e+02 	 4.120013e+05
240 	 3.848331e+02 	 4.116783e+05
240 	 3.904924e+02 	 4.113646e+05
240 	 3.961517e+02 	 4.110599e+05
240 	 4.018110e+02 	 4.107638e+05
240 	 4.074703e+02 	 4.104760e+05
240 	 4.131296e+02 	 4.101960e+05
240 	 4.187889e+02 	 4.099236e+05
240 	 4.244482e+02 	 4.096584e+05
240 	 4.301075e+02 	 4.094003e+05
240 	 4.357668e+02 	 4.091488e+05
240 	 4.414261e+02 	 4.089038e+05
240 	 4.470855e+02 	 4.086650e+05
240 	 4.527448e+02 	 4.084321e+05
240 	 4.584041e+02 	 4.082050e+05
240 	 4.640634e+02 	 4.079834e+05
240 	 4.697227e+02 	 4.077672e+05
240 	 4.753820e+02 	 4.075562e+05
240 	 4.810413e+02 	 4.073501e+05
240 	 4.867006e+02 	 4.071487e+05
240 	 4.923599e+02 	 4.069521e+05
240 	 4.980192e+02 	 4.067598e+05
240 	 5.036786e+02 	 4.065719e+05
240 	 5.093379e+02 	 4.063882e+05
240 	 5.149972e+02 	 4.062085e+05
240 	 5.206565e+02 	 4.060328e+05
240 	 5.263158e+02 	 4.058608e+05
240 	 5.319751e+02 	 4.056924e+05
240 	 5.376344e+02 	 4.055276e+05
240 	 5.432937e+02 	 4.053663e+05
240 	 5.489530e+02 	 4.052083e+05
240 	 5.546123e+02 	 4.050535e+05
240 	 5.602716e+02 	 4.049018e+05
240 	 5.659310e+02 	 4.047531e+05
240 	 5.715903e+02 	 4.046074e+05
240 	 5.772496e+02 	 4.044646e+05
240 	 5.829089e+02 	 4.043245e+05
240 	 5.885682e+02 	 4.041871e+05
240 	 5.942275e+02 	 4.040524e+05
240 	 5.998868e+02 	 4.039202e+05
240 	 6.055461e+02 	 4.037904e+05
240 	 6.112054e+02 	 4.036631e+05
240 	 6.168647e+02 	 4.035381e+05
240 	 6.225241e+02 	 4.034153e+05
240 	 6.281834e+02 	 4.032948e+05
240 	 6.338427e+02 	 4.031764e+05
240 	 6.395020e+02 	 4.030601e+05
240 	 6.451613e+02 	 4.029459e+05
240 	 6.508206e+02 	 4.028337e+05
240 	 6.564799e+02 	 4.027233e+05
240 	 6.621392e+02 	 4.026149e+05
240 	 6.677985e+02 	 4.025083e+05
240 	 6.734578e+02 	 4.024035e+05
240 	 6.791171e+02 	 4.023005e+05
240 	 6.847765e+02 	 4.021991e+05
240 	 6.904358e+02 	 4.020994e+05
240 	 6.960951e+02 	 4.020014e+05
240 	 7.017544e+02 	 4.019049e+05
240 	 7.074137e+02 	 4.018099e+05
240 	 7.130730e+02 	 4.017165e+05
240 	 7.187323e+02 	 4.016246e+05
240 	 7.243916e+02 	 4.015340e+05
240 	 7.300509e+02 	 4.014449e+05
240 	 7.357102e+02 	 4.013572e+05
240 	 7.413696e+02 	 4.012707e+05
240 	 7.470289e+02 	 4.011856e+05
240 	 7.526882e+02 	 4.011018e+05
240 	 7.583475e+02 	 4.010192e+05
240 	 7.640068e+02 	 4.009379e+05
240 	 7.696661e+02 	 4.008577e+05
240 	 7.753254e+02 	 4.007788e+05
240 	 7.809847e+02 	 4.007009e+05
240 	 7.866440e+02 	 4.006242e+05
240 	 7.923033e+02 	 4.005486e+05
240 	 7.979626e+02 	 4.004740e+05
240 	 8.036220e+02 	 4.004005e+05
240 	 8.092813e+02 	 4.003281e+05
240 	 8.149406e+02 	 4.002566e+05
240 	 8.205999e+02 	 4.001861e+05
240 	 8.262592e+02 	 4.001166e+05
240 	 8.319185e+02 	 4.000480e+05
240 	 8.375778e+02 	 3.999804e+05
240 	 8.432371e+02 	 3.999137e+05
240 	 8.488964e+02 	 3.998478e+05
240 	 8.545557e+02 	 3.997829e+05
240 	 8.602151e+02 	 3.997187e+05
240 	 8.658744e+02 	 3.996555e+05
240 	 8.715337e+02 	 3.995930e+05
240 	 8.771930e+02 	 3.995314e+05
240 	 8.828523e+02 	 3.994705e+05
240 	 8.885116e+02 	 3.994104e+05
240 	 8.941709e+02 	 3.993511e+05
240 	 8.998302e+02 	 3.992925e+05
240 	 9.054895e+02 	 3.992347e+05
240 	 9.111488e+02 	 3.991775e+05
240 	 9.168081e+02 	 3.991211e+05
240 	 9.224675e+02 	 3.990654e+05
240 	 9.281268e+02 	 3.990103e+05
240 	 9.337861e+02 	 3.989560e+05
240 	 9.394454e+02 	 3.989022e+05
240 	 9.451047e+02 	 3.988491e+05
240 	 9.507640e+02 	 3.987967e+05
240 	 9.564233e+02 	 3.987449e+05
240 	 9.620826e+02 	 3.986936e+05
240 	 9.677419e+02 	 3.986430e+05
240 	 9.734012e+02 	 3.985930e+05
240 	 9.790606e+02 	 3.985435e+05
240 	 9.847199e+02 	 3.984946e+05
240 	 9.903792e+02 	 3.984463e+05
240 	 9.960385e+02 	 3.983985e+05
240 	 1.001698e+03 	 3.983513e+05
240 	 1.007357e+03 	 3.983046e+05
240 	 1.013016e+03 	 3.982584e+05
240 	 1.018676e+03 	 3.982127e+05
240 	 1.024335e+03 	 3.981676e+05
240 	 1.029994e+03 	 3.981229e+05
240 	 1.035654e+03 	 3.980787e+05
240 	 1.041313e+03 	 3.980350e+05
241 	 3.395586e+01 	 6.438500e+05
241 	 3.961517e+01 	 6.078187e+05
241 	 4.527448e+01 	 5.807951e+05
241 	 5.093379e+01 	 5.597768e+05
241 	 5.659310e+01 	 5.429622e+05
241 	 6.225241e+01 	 5.292048e+05
241 	 6.791171e+01 	 5.177402e+05
241 	 7.357102e+01 	 5.080395e+05
241 	 7.923033e+01 	 4.997246e+05
241 	 8.488964e+01 	 4.925183e+05
241 	 9.054895e+01 	 4.862128e+05
241 	 9.620826e+01 	 4.806491e+05
241 	 1.018676e+02 	 4.757036e+05
241 	 1.075269e+02 	 4.712787e+05
241 	 1.131862e+02 	 4.672963e+05
241 	 1.188455e+02 	 4.636932e+05
241 	 1.245048e+02 	 4.604176e+05
241 	 1.301641e+02 	 4.574269e+05
241 	 1.358234e+02 	 4.546854e+05
