Table: Internal Energy [Saturated Tank]
Total Nitrous Mass Per Nitrous Tank Vol {Kg/m^3} 	 Temperature {K} 	 Specific Internal Energy (Per Kg Total Nitrous) {J/Kg}
3.395586e+01 	 240 	 6.353022e+05
3.395586e+01 	 241 	 6.438500e+05
3.395586e+01 	 242 	 6.524142e+05
3.961517e+01 	 240 	 6.002644e+05
3.961517e+01 	 241 	 6.078187e+05
3.961517e+01 	 242 	 6.153872e+05
3.961517e+01 	 243 	 6.230600e+05
3.961517e+01 	 244 	 6.308281e+05
3.961517e+01 	 245 	 6.387208e+05
3.961517e+01 	 246 	 6.468057e+05
3.961517e+01 	 247 	 6.549180e+05
4.527448e+01 	 240 	 5.739860e+05
4.527448e+01 	 241 	 5.807951e+05
4.527448e+01 	 242 	 5.876169e+05
4.527448e+01 	 243 	 5.945297e+05
4.527448e+01 	 244 	 6.015256e+05
4.527448e+01 	 245 	 6.086302e+05
4.527448e+01 	 246 	 6.159022e+05
4.527448e+01 	 247 	 6.231985e+05
4.527448e+01 	 248 	 6.305776e+05
4.527448e+01 	 249 	 6.380629e+05
4.527448e+01 	 250 	 6.457390e+05
4.527448e+01 	 251 	 6.534279e+05
4.527448e+01 	 252 	 6.612241e+05
5.093379e+01 	 240 	 5.535472e+05
5.093379e+01 	 241 	 5.597768e+05
5.093379e+01 	 242 	 5.660178e+05
5.093379e+01 	 243 	 5.723394e+05
5.093379e+01 	 244 	 5.787348e+05
5.093379e+01 	 245 	 5.852264e+05
5.093379e+01 	 246 	 5.918662e+05
5.093379e+01 	 247 	 5.985277e+05
5.093379e+01 	 248 	 6.052627e+05
5.093379e+01 	 249 	 6.120918e+05
5.093379e+01 	 250 	 6.190897e+05
5.093379e+01 	 251 	 6.260993e+05
5.093379e+01 	 252 	 6.332039e+05
5.093379e+01 	 253 	 6.403921e+05
5.093379e+01 	 254 	 6.477439e+05
5.093379e+01 	 255 	 6.551248e+05
5.659310e+01 	 240 	 5.371962e+05
5.659310e+01 	 241 	 5.429622e+05
5.659310e+01 	 242 	 5.487386e+05
5.659310e+01 	 243 	 5.545872e+05
5.659310e+01 	 244 	 5.605021e+05
5.659310e+01 	 245 	 5.665034e+05
5.659310e+01 	 246 	 5.726374e+05
5.659310e+01 	 247 	 5.787911e+05
5.659310e+01 	 248 	 5.850107e+05
5.659310e+01 	 249 	 5.913149e+05
